"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","exp_stage","cue","stim_color","stim_number","task","task_switch","cue_switch","trial_num","correct","correct_response","feedback_duration","exp_id"
"2291","13","text","0","2294","0.0-0.0","s491","","","","","","","","","","","","","","","","","","","",""
"991","89","poldrack-text","1","4290","0.0-1.0","s491","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","991","500","fmri_response_test","","","","","","","","","","","","","","","",""
"376","71","poldrack-text","2","5168","0.0-2.0","s491","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","376","500","fmri_response_test","","","","","","","","","","","","","","","",""
"8685","","survey-text","3","14362","0.0-3.0","s491","","","","task_setup","{""Q0"":""1"",""Q1"":""2""}","","","","","","","","","","","","","","",""
"10331","32","poldrack-single-stim","4","25698","0.0-4.0","s491","","10331","0","instructions","","<div class = centerbox><div class = center-text style=""font-size:40px""><strong>Color</strong> or <strong>Orange-Blue</strong>: Index Finger if orange and Middle Finger if blue.<br><br><strong>Magnitude</strong> or <strong>High-Low</strong>: Middle Finger if >5 and Index Finger if <5.</div></div>","32","10331","","","","","","","","","","","",""
"","","call-function","5","25699","0.0-5.0-0.0","s491","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","6","26203","0.0-5.0-1.0","s491","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","7","27108","0.0-5.0-2.0","s491","","900","0","cue","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","900","practice","Color","orange","2","color","switch","stay","0","","","",""
"1054","89","poldrack-categorize","8","29615","0.0-5.0-3.0","s491","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = ""stim-text"" style=color:orange;>2</div>","89,71","1000","practice","Color","orange","2","color","switch","stay","0","true","89","500",""
"-1","-1","poldrack-single-stim","9","30118","0.0-5.0-4.0","s491","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","10","30118","0.0-5.0-5.0","s491","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","11","30621","0.0-5.0-6.0","s491","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","12","30723","0.0-5.0-7.0","s491","","100","0","cue","","<div class = upperbox><div class = ""center-text"" >High-Low</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","100","practice","High-Low","orange","1","magnitude","switch","stay","1","","","",""
"928","89","poldrack-categorize","13","33229","0.0-5.0-8.0","s491","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >High-Low</div></div><div class = lowerbox><div class = ""stim-text"" style=color:orange;>1</div>","89,71","1000","practice","High-Low","orange","1","magnitude","switch","stay","1","true","89","500",""
"-1","-1","poldrack-single-stim","14","33732","0.0-5.0-9.0","s491","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","15","33732","0.0-5.0-10.0","s491","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","16","34235","0.0-5.0-11.0","s491","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
