onset	duration	response_time	SS_delay	correct	experiment_exp_id	key_press	passed_check	stop_response	stopped	trial_type	trigger_times	worker_id	junk
3.02	0.56	0.27283464566929133	350.0	1.0	motor_selective_stop_signal	71.0	True	71.0	False	crit_go	139736,140416,141096,141776,142456	s621	False
5.675	0.56	0.2438346456692913	350.0	1.0	motor_selective_stop_signal	71.0	True	71.0	False	crit_stop_failure	143136,143816,144495	s621	False
7.931	0.56	0.03983464566929132	300.0	1.0	motor_selective_stop_signal	89.0	True	71.0	False	noncrit_signal	145175,145856,146536,147215	s621	False
10.582	0.56	0.13083464566929132	300.0	1.0	motor_selective_stop_signal	71.0	True	71.0	False	crit_go	147895,148575,149255,149935	s621	False
12.934	0.56	-0.02816535433070868	300.0	1.0	motor_selective_stop_signal	89.0	True	71.0	False	noncrit_nosignal	150615,151295,151975	s621	False
15.19	0.56	-0.02116535433070868	300.0	1.0	motor_selective_stop_signal	89.0	True	71.0	False	noncrit_nosignal	152655,153336,154015	s621	False
17.446	0.56	0.1538346456692913	300.0	1.0	motor_selective_stop_signal	71.0	True	71.0	False	crit_go	154695,155375,156057	s621	False
19.698	0.56	0.06283464566929133	300.0	1.0	motor_selective_stop_signal	89.0	True	71.0	False	noncrit_nosignal	156735,157415,158095,158775	s621	False
22.053	0.56	-0.08416535433070868	300.0	1.0	motor_selective_stop_signal	89.0	True	71.0	False	noncrit_signal	159455,160135,160815,161495	s621	False
24.605	0.56	0.10883464566929132	300.0	1.0	motor_selective_stop_signal	89.0	True	71.0	False	noncrit_nosignal	162175,162855,163536	s621	False
26.957	0.56	-0.40216535433070866	300.0	0.0	motor_selective_stop_signal	-1.0	True	71.0	True	crit_stop_success	164216,164895,165576,166257	s621	False
29.412	0.56	-0.0061653543307086806	350.0	1.0	motor_selective_stop_signal	89.0	True	71.0	False	noncrit_nosignal	166936,167615,168295	s621	False
31.864	0.56	0.09283464566929132	350.0	1.0	motor_selective_stop_signal	71.0	True	71.0	False	crit_stop_failure	168976,169656,170335,171015	s621	False
34.221	0.56	-0.02916535433070868	300.0	1.0	motor_selective_stop_signal	89.0	True	71.0	False	noncrit_signal	171695,172375,173055	s621	False
36.475	0.56	0.060834645669291317	300.0	1.0	motor_selective_stop_signal	71.0	True	71.0	False	crit_go	173735,174415,175095,175775	s621	False
39.03	0.56	0.09883464566929132	300.0	1.0	motor_selective_stop_signal	89.0	True	71.0	False	noncrit_nosignal	176457,177135,177815,178495	s621	False
41.586	0.56	-0.02616535433070868	300.0	1.0	motor_selective_stop_signal	89.0	True	71.0	False	noncrit_signal	179175,179855,180535	s621	False
43.839	0.56	0.07983464566929131	300.0	0.0	motor_selective_stop_signal	89.0	True	71.0	False	crit_go	181215,181895,182575	s621	True
46.095	0.56	-0.40216535433070866	300.0	0.0	motor_selective_stop_signal	-1.0	True	71.0	True	crit_stop_success	183255,183935,184615,185295	s621	False
48.547	0.56	0.1508346456692913	350.0	1.0	motor_selective_stop_signal	71.0	True	71.0	False	crit_go	185975,186656,187335	s621	False
