onset	duration	response_time	EV	action	experiment_exp_id	gain_amount	gain_probability	key_press	loss_amount	loss_probability	num_cards	num_click_in_round	num_loss_cards	risk	total_cards	trial_type	trigger_times	worker_id	junk	feedback
3.017	1.137	1.5177942386831276	-1.381106679100506	draw_card	columbia_card_task_fmri	12.0	0.8333333333333334	89.0	-70.0	0.16666666666666666	6.0	1.0	1.0	-0.06961844554153629	1.0	poldrack-single-stim	106055,106735,107415,108095,108775,109455	s633	False	False
8.612	1.137	2.1347942386831273	-0.5477733457671722	draw_card	columbia_card_task_fmri	14.0	0.8333333333333334	89.0	-75.0	0.16666666666666666	6.0	1.0	1.0	2.5390225983996544		poldrack-single-stim	112174,112856,113535,114215,114895,115575	s633	False	True
12.498	1.137	-0.7852057613168725	-3.514440012433839	end_round	columbia_card_task_fmri	14.0	0.8	71.0	-75.0	0.2	6.0	2.0	1.0	4.970596972433249	1.0	poldrack-single-stim	116255	s633	False	True
15.794	1.137	1.0707942386831275	1.1188933208994942	draw_card	columbia_card_task_fmri	15.0	0.8333333333333334	89.0	-70.0	0.16666666666666666	6.0	1.0	1.0	1.0483684571875749		poldrack-single-stim	119655,120335,121015,121695	s633	False	True
18.617	1.137	1.3117942386831276	-1.7144400124338401	end_round	columbia_card_task_fmri	15.0	0.8	71.0	-70.0	0.2	6.0	2.0	1.0	3.370650865614735	1.0	poldrack-single-stim	122375,123056,123735,124415	s633	False	True
24.548	1.137	1.9147942386831276	1.952226654232828	draw_card	columbia_card_task_fmri	17.0	0.8333333333333334	89.0	-75.0	0.16666666666666666	6.0	1.0	1.0	3.6570165049986727		poldrack-single-stim	128495,129175,129855,130535,131215	s633	False	True
28.216	1.137	1.6887942386831276	-1.1144400124338385	draw_card	columbia_card_task_fmri	17.0	0.8	89.0	-75.0	0.2	6.0	2.0	1.0	6.170559627828999		poldrack-single-stim	131895,132575,133257,133935,134615	s633	False	True
31.657	1.137	-1.0912057613168724	-5.71444001243384	end_round	columbia_card_task_fmri	17.0	0.75	71.0	-75.0	0.25	6.0	3.0	1.0	9.207643736448944	2.0	poldrack-single-stim	135296	s633	False	True
35.05	1.137	1.5937942386831276	3.28555998756616	draw_card	columbia_card_task_fmri	24.0	0.75	89.0	-60.0	0.25	8.0	1.0	2.0	5.743639590773469		poldrack-single-stim	138695,139375,140054,140735,141415	s633	False	True
38.396	1.137	-0.7722057613168725	0.28555998756616	end_round	columbia_card_task_fmri	24.0	0.7142857142857143	71.0	-60.0	0.2857142857142857	8.0	2.0	2.0	7.3178580528660016	1.0	poldrack-single-stim	142095	s633	False	True
41.634	1.137	2.3567942386831273	3.28555998756616	draw_card	columbia_card_task_fmri	29.0	0.75	89.0	-75.0	0.25	8.0	1.0	2.0	14.403678070201186	1.0	poldrack-single-stim	145495,146175,146855,147535,148215,148895	s633	False	False
48.067	1.137	-0.5142057613168725	-0.9366622346560596	draw_card	columbia_card_task_fmri	17.0	0.7777777777777778	89.0	-65.0	0.2222222222222222	9.0	1.0	2.0	3.461303867438609		poldrack-single-stim	151615,152295	s633	False	True
49.307	1.137	1.0597942386831276	-3.21444001243384	draw_card	columbia_card_task_fmri	17.0	0.75	89.0	-65.0	0.25	9.0	2.0	2.0	4.877641525846761		poldrack-single-stim	152975,153656,154335,155015	s633	False	True
52.119	1.137	-0.5912057613168724	-6.143011441005268	end_round	columbia_card_task_fmri	17.0	0.7142857142857143	71.0	-65.0	0.2857142857142857	9.0	3.0	2.0	6.414376354752477	2.0	poldrack-single-stim	155695,156375	s633	False	True
55.739	1.137	1.5817942386831276	3.38555998756616	draw_card	columbia_card_task_fmri	14.0	0.9	89.0	-95.0	0.1	10.0	1.0	1.0	2.0706985369695303		poldrack-single-stim	159095,159776,160456,161135,161816	s633	False	True
