onset	duration	response_time	EV	action	experiment_exp_id	gain_amount	gain_probability	key_press	loss_amount	loss_probability	num_cards	num_click_in_round	num_loss_cards	risk	total_cards	trial_type	worker_id	junk	feedback
3.015	1.137	3.8975949367088605	-2.118152408421396	draw_card	columbia_card_task_fmri	12.0	0.8333333333333334	89.0	-70.0	0.16666666666666666	6.0	1.0	1.0	-0.7898948695622963		poldrack-single-stim	s570	False	True
9.487	1.137	3.0595949367088604	-4.851485741754728	draw_card	columbia_card_task_fmri	12.0	0.8	89.0	-70.0	0.2	6.0	2.0	1.0	1.4502816678516268		poldrack-single-stim	s570	False	True
15.12	1.137	-1.4984050632911394	-8.951485741754729	end_round	columbia_card_task_fmri	12.0	0.75	71.0	-70.0	0.25	6.0	3.0	1.0	4.15708635438282	2.0	poldrack-single-stim	s570	False	True
18.653	1.137	2.5625949367088605	-1.2848190750880617	draw_card	columbia_card_task_fmri	14.0	0.8333333333333334	89.0	-75.0	0.16666666666666666	6.0	1.0	1.0	1.8185888316192589		poldrack-single-stim	s570	False	True
23.789	1.137	0.4085949367088606	-4.2514857417547285	draw_card	columbia_card_task_fmri	14.0	0.8	89.0	-75.0	0.2	6.0	2.0	1.0	4.250037304940663		poldrack-single-stim	s570	False	True
26.771	1.137	-1.8514050632911394	-8.701485741754729	end_round	columbia_card_task_fmri	14.0	0.75	71.0	-75.0	0.25	6.0	3.0	1.0	7.187949530496758	2.0	poldrack-single-stim	s570	False	True
29.951	1.137	0.9975949367088606	0.3818475915786045	draw_card	columbia_card_task_fmri	15.0	0.8333333333333334	89.0	-70.0	0.16666666666666666	6.0	1.0	1.0	0.32802142793105205		poldrack-single-stim	s570	False	True
33.523	1.137	-0.3724050632911394	-2.4514857417547296	draw_card	columbia_card_task_fmri	15.0	0.8	89.0	-70.0	0.2	6.0	2.0	1.0	2.650172013212021		poldrack-single-stim	s570	False	True
35.725	1.137	-0.6824050632911394	-6.7014857417547296	end_round	columbia_card_task_fmri	15.0	0.75	71.0	-70.0	0.25	6.0	3.0	1.0	5.456023163405142	2.0	poldrack-single-stim	s570	False	True
40.141	1.137	0.19259493670886058	1.2151809249119383	draw_card	columbia_card_task_fmri	17.0	0.8333333333333334	89.0	-75.0	0.16666666666666666	6.0	1.0	1.0	2.9365226338350894		poldrack-single-stim	s570	False	True
42.906	1.137	-0.1974050632911394	-1.851485741754728	draw_card	columbia_card_task_fmri	17.0	0.8	89.0	-75.0	0.2	6.0	2.0	1.0	5.4499439599927015		poldrack-single-stim	s570	False	True
45.284	1.137	1.0295949367088606	-6.4514857417547296	end_round	columbia_card_task_fmri	17.0	0.75	71.0	-75.0	0.25	6.0	3.0	1.0	8.486901406327902	2.0	poldrack-single-stim	s570	False	True
51.277	1.137	1.6015949367088607	2.5485142582452704	draw_card	columbia_card_task_fmri	24.0	0.75	89.0	-60.0	0.25	8.0	1.0	2.0	5.023043423215945	1.0	poldrack-single-stim	s570	False	False
57.913	1.137	1.7765949367088605	2.5485142582452704	draw_card	columbia_card_task_fmri	29.0	0.75	89.0	-75.0	0.25	8.0	1.0	2.0	13.682758653516743		poldrack-single-stim	s570	False	True
62.264	1.137	-0.6044050632911394	-1.1657714560404413	draw_card	columbia_card_task_fmri	29.0	0.7142857142857143	89.0	-75.0	0.2857142857142857	8.0	2.0	2.0	15.631754724294266	2.0	poldrack-single-stim	s570	False	False
66.762	1.137	-0.04240506329113941	-1.6737079639769492	draw_card	columbia_card_task_fmri	17.0	0.7777777777777778	89.0	-65.0	0.2222222222222222	9.0	1.0	2.0	2.7408202333478897	1.0	poldrack-single-stim	s570	False	False
71.817	1.137	1.0325949367088605	2.64851425824527	draw_card	columbia_card_task_fmri	14.0	0.9	89.0	-95.0	0.1	10.0	1.0	1.0	1.3502911689669403		poldrack-single-stim	s570	False	True
75.425	1.137	-0.09940506329113942	1.4374031471341584	end_round	columbia_card_task_fmri	14.0	0.8888888888888888	71.0	-95.0	0.1111111111111111	10.0	2.0	1.0	2.9055448443808563	1.0	poldrack-single-stim	s570	False	True
80.495	1.137	-0.6044050632911394	-1.4514857417547296	draw_card	columbia_card_task_fmri	15.0	0.8	89.0	-65.0	0.2	10.0	1.0	2.0	0.6503593392249343	1.0	poldrack-single-stim	s570	False	False
84.923	1.137	6.470594936708861	0.14851425824527198	draw_card	columbia_card_task_fmri	17.0	0.8	89.0	-65.0	0.2	10.0	1.0	2.0	1.4502816678516268	1.0	poldrack-single-stim	s570	False	False
96.288	1.137	0.7995949367088606	-1.2848190750880617	draw_card	columbia_card_task_fmri	13.0	0.8333333333333334	89.0	-70.0	0.16666666666666666	12.0	1.0	2.0	-0.4172570488920364		poldrack-single-stim	s570	False	True
