onset	duration	response_time	EV	action	experiment_exp_id	gain_amount	gain_probability	key_press	loss_amount	loss_probability	num_cards	num_click_in_round	num_loss_cards	risk	total_cards	trial_type	trigger_times	worker_id	junk	feedback
3.015	1.137	5.868274038461539	0.5677121756448678	draw_card	columbia_card_task_fmri	12.0	0.8333333333333334	89.0	-70.0	0.16666666666666666	6.0	1.0	1.0	-3.396702297149435		poldrack-single-stim	49353,50034,50714,51394,52073,52753,53434,54113,54794,55474,56154,56835,57514	s628	False	True
11.458	1.137	5.879274038461539	-2.1656211576884647	draw_card	columbia_card_task_fmri	12.0	0.8	89.0	-70.0	0.2	6.0	2.0	1.0	-1.161856613141616		poldrack-single-stim	58194,58873,59554,60233,60913,61593,62273,62953,63633,64313,64993,65673,66353	s628	False	True
19.912	1.137	-1.2827259615384614	-6.265621157688466	draw_card	columbia_card_task_fmri	12.0	0.75	89.0	-70.0	0.25	6.0	3.0	1.0	1.5394014016697641		poldrack-single-stim	67034,67713	s628	False	True
21.203	1.137	6.491274038461539	-13.098954491021798	end_round	columbia_card_task_fmri	12.0	0.6666666666666667	71.0	-70.0	0.3333333333333333	6.0	4.0	1.0	4.681820652186354	3.0	poldrack-single-stim	68393,69073,69753,70434,71114,71794,72474,73155,73834,74513,75194,75874,76554	s628	False	True
32.527	1.137	4.898274038461539	1.4010455089782017	draw_card	columbia_card_task_fmri	14.0	0.8333333333333334	89.0	-75.0	0.16666666666666666	6.0	1.0	1.0	-0.7943572050372367		poldrack-single-stim	79275,79954,80638,81314,81995,82674,83354,84034,84714,85394,86074	s628	False	True
40.0	1.137	-1.4677259615384615	-1.565621157688465	draw_card	columbia_card_task_fmri	14.0	0.8	89.0	-75.0	0.2	6.0	2.0	1.0	1.6321768158448222		poldrack-single-stim	86753,87435	s628	False	True
41.106	1.137	-2.1027259615384613	-6.015621157688466	draw_card	columbia_card_task_fmri	14.0	0.75	89.0	-75.0	0.25	6.0	3.0	1.0	4.564976043566488	3.0	poldrack-single-stim	88113	s628	False	False
43.968	1.137	2.1162740384615386	3.067712175644868	draw_card	columbia_card_task_fmri	15.0	0.8333333333333334	89.0	-70.0	0.16666666666666666	6.0	1.0	1.0	-2.28154015861918		poldrack-single-stim	90833,91514,92193,92874,93554,94234,94913	s628	False	True
48.658	1.137	-1.8097259615384613	0.23437884231153386	draw_card	columbia_card_task_fmri	15.0	0.8	89.0	-70.0	0.2	6.0	2.0	1.0	0.035466337943127264		poldrack-single-stim	95594	s628	False	True
49.422	1.137	-2.1517259615384616	-4.015621157688466	draw_card	columbia_card_task_fmri	15.0	0.75	89.0	-70.0	0.25	6.0	3.0	1.0	2.8359653415045187		poldrack-single-stim	96274	s628	False	True
49.845	1.137	-1.4697259615384615	-11.098954491021798	end_round	columbia_card_task_fmri	15.0	0.6666666666666667	71.0	-70.0	0.3333333333333333	6.0	4.0	1.0	6.093760533318112	3.0	poldrack-single-stim	96954	s628	False	True
53.543	1.137	1.8402740384615386	3.9010455089782017	draw_card	columbia_card_task_fmri	17.0	0.8333333333333334	89.0	-75.0	0.16666666666666666	6.0	1.0	1.0	0.3212307315391314		poldrack-single-stim	100354,101034,101714,102394,103074,103754,104434	s628	False	True
57.96	1.137	-2.1447259615384615	0.8343788423115353	draw_card	columbia_card_task_fmri	17.0	0.8	89.0	-75.0	0.2	6.0	2.0	1.0	2.8298968543666945		poldrack-single-stim		s628	False	True
58.39	1.137	-2.2007259615384616	-3.765621157688466	draw_card	columbia_card_task_fmri	17.0	0.75	89.0	-75.0	0.25	6.0	3.0	1.0	5.86190713052374		poldrack-single-stim	105114	s628	False	True
58.764	1.137	-1.9377259615384614	-11.432287824355132	end_round	columbia_card_task_fmri	17.0	0.6666666666666667	71.0	-75.0	0.3333333333333333	6.0	4.0	1.0	9.388862357988174	3.0	poldrack-single-stim	105794	s628	False	True
62.06	1.137	6.547274038461539	5.234378842311535	draw_card	columbia_card_task_fmri	24.0	0.75	89.0	-60.0	0.25	8.0	1.0	2.0	2.403757780937504	1.0	poldrack-single-stim	109194,109874,110554,111234,111914,112594,113274,113954,114635,115314,115994,116674,117353	s628	False	False
73.572	1.137	-0.03672596153846144	5.234378842311535	draw_card	columbia_card_task_fmri	29.0	0.75	89.0	-75.0	0.25	8.0	1.0	2.0	11.050844604289077		poldrack-single-stim	120754,121434,122114	s628	False	True
76.111	1.137	1.8172740384615387	1.5200931280258216	draw_card	columbia_card_task_fmri	29.0	0.7142857142857143	89.0	-75.0	0.2857142857142857	8.0	2.0	2.0	12.997639054730179	2.0	poldrack-single-stim	122794,123474,124154,124834,125514,126193,126874	s628	False	False
82.896	1.137	5.766274038461539	1.0121566200893142	draw_card	columbia_card_task_fmri	17.0	0.7777777777777778	89.0	-65.0	0.2222222222222222	9.0	1.0	2.0	0.12592791789572289		poldrack-single-stim	129594,130274,130954,131634,132314,132994,133674,134354,135034,135714,136394,137074,137754	s628	False	True
91.236	1.137	-0.3427259615384614	-1.2656211576884662	draw_card	columbia_card_task_fmri	17.0	0.75	89.0	-65.0	0.25	9.0	2.0	2.0	1.5394014016697641		poldrack-single-stim	138435,139115,139794	s628	False	True
