"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","exp_stage","which_round","num_click_in_round","num_cards","num_loss_cards","gain_amount","loss_amount","round_points","clicked_on_loss_card","reward","exp_id"
"6763","13","text","0","6767","0.0-0.0","s620","","","","","","","","","","","","","","","","","",""
"1605","89","poldrack-text","1","9375","0.0-1.0","s620","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1605","500","fmri_response_test","","","","","","","","","","","","","",""
"1362","71","poldrack-text","2","11239","0.0-2.0","s620","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","1362","500","fmri_response_test","","","","","","","","","","","","","",""
"75138","32","poldrack-single-stim","3","86880","0.0-3.0","s620","","75138","500","instructions","<div class = centerbox><div class = center-text>Try to get as many points as possible<br><br>The loss amount, the gain amount, and the number of loss cards may change each trial<br><br>Index Finger: Take Another Card<br>Middle Finger: End The Round</div></div>","32","75138","","","","","","","","","","",""
"43684","32","poldrack-text","4","131066","0.0-4.0","s620","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","43684","0","fmri_scanner_wait","","","","","","","","","","","","","",""
"83","84","poldrack-text","5","131149","0.0-5.0","s620","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","83","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"84","84","poldrack-text","6","131234","0.0-6.0","s620","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","84","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"84","84","poldrack-text","7","131319","0.0-7.0","s620","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","84","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"84","84","poldrack-text","8","131404","0.0-8.0","s620","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","84","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"84","84","poldrack-text","9","131489","0.0-9.0","s620","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","84","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"84","84","poldrack-text","10","131574","0.0-10.0","s620","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","84","0","fmri_trigger_wait","","","","","","","","","","","","","",""
