"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","exp_stage","condition","trial_num","correct_response","correct","exp_id"
"2025","13","text","0","2028","0.0-0.0","s602","","","","","","","","","","","","","",""
"8718","89","poldrack-text","1","11753","0.0-1.0","s602","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","8718","500","fmri_response_test","","","","","","","","","",""
"735","71","poldrack-text","2","12992","0.0-2.0","s602","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","735","500","fmri_response_test","","","","","","","","","",""
"13330","","survey-text","3","26831","0.0-3.0","s602","","","","task_setup","{""Q0"":""3"",""Q1"":""6""}","","","","","","","","",""
"32502","32","poldrack-single-stim","4","60336","0.0-4.0","s602","","32502","500","instructions","","<div class = centerbox><p style = ""font-size:40px"" class = center-block-text>Target Pair (press index finger):</p><p class = center-block-text><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png"" ></img>&nbsp&nbsp&nbsp...followed by...&nbsp&nbsp&nbsp<img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png"" ></img><br></br></p><p style = ""font-size:40px"" class = center-block-text>Otherwise press middle finger</div>","32","32502","","","","","",""
"-1","-1","poldrack-single-stim","5","61345","0.0-5.0-0.0","s602","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>","none","500","practice","BX","0","","",""
"-1","-1","poldrack-single-stim","6","63346","0.0-5.0-1.0","s602","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
"502","89","poldrack-single-stim","7","65049","0.0-5.0-2.0","s602","","1700","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png""</img></div></div>","89,71","500","practice","BX","0","71","false",""
"-1","-1","poldrack-single-stim","8","65554","0.0-5.0-3.0","s602","","500","0","feedback","","<div class = centerbox><div style=""color:red""; class = center-text>Incorrect</div></div>","none","500","practice","","1","","",""
"-1","-1","poldrack-single-stim","9","66058","0.0-5.0-4.0","s602","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>","none","500","practice","AX","1","","",""
"-1","-1","poldrack-single-stim","10","68061","0.0-5.0-5.0","s602","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
"752","71","poldrack-single-stim","11","69565","0.0-5.0-6.0","s602","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png""</img></div></div>","89,71","500","practice","AX","1","89","false",""
"-1","-1","poldrack-single-stim","12","70067","0.0-5.0-7.0","s602","","500","0","feedback","","<div class = centerbox><div style=""color:red""; class = center-text>Incorrect</div></div>","none","500","practice","","2","","",""
"-1","-1","poldrack-single-stim","13","70571","0.0-5.0-8.0","s602","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>","none","500","practice","AX","2","","",""
"-1","-1","poldrack-single-stim","14","72573","0.0-5.0-9.0","s602","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
