"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","exp_stage","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration","condition","stop_response","exp_id"
"2559","13","text","0","2562","0.0-0.0","s234","","","","","","","","","","","","","","","","","","","",""
"1479","89","poldrack-text","1","5044","0.0-1.0","s234","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1479","500","fmri_response_test","","","","","","","","","","","","","","","",""
"533","71","poldrack-text","2","6080","0.0-2.0","s234","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","533","500","fmri_response_test","","","","","","","","","","","","","","","",""
"10873","","survey-text","3","17458","0.0-3.0","s234","","","","task_setup","{""Q0"":""350""}","","","","","","","","","","","","","","",""
"35452","32","poldrack-single-stim","4","53933","0.0-4.0","s234","","35452","0","instructions","","<div class = instructbox><p class = instruct-text>Only one key is correct for each shape. The correct keys are as follows:<ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img>index finger</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img>index finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img>middle finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img>middle finger</div></li></ul></p><p class = instruct-text><strong>Do not respond if you see the red star if your response was going to be your index finger!</strong></p><p class = instruct-text>We will start with practice</p></div>","32","35452","","","","","","","","","","","",""
"-1","-1","poldrack-categorize","5","56288","0.0-5.0-0.0-0.0","s234","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img></div>","89,71","850","false","89","500","practice","0","","","","","","",""
"522","71","poldrack-categorize","6","58892","0.0-5.0-0.0-1.0","s234","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img></div>","89,71","850","true","71","500","practice","1","","","","","","",""
"510","89","poldrack-categorize","7","61495","0.0-5.0-0.0-2.0","s234","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img></div>","89,71","850","true","89","500","practice","2","","","","","","",""
"484","89","poldrack-categorize","8","64099","0.0-5.0-0.0-3.0","s234","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img></div>","89,71","850","true","89","500","practice","3","","","","","","",""
"520","89","poldrack-categorize","9","66705","0.0-5.0-0.0-4.0","s234","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img></div>","89,71","850","true","89","500","practice","4","","","","","","",""
"632","89","poldrack-categorize","10","69309","0.0-5.0-0.0-5.0","s234","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img></div>","89,71","850","false","71","500","practice","5","","","","","","",""
"381","71","poldrack-categorize","11","71912","0.0-5.0-0.0-6.0","s234","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img></div>","89,71","850","true","71","500","practice","6","","","","","","",""
"429","71","poldrack-categorize","12","74517","0.0-5.0-0.0-7.0","s234","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img></div>","89,71","850","true","71","500","practice","7","","","","","","",""
"537","71","poldrack-categorize","13","77122","0.0-5.0-0.0-8.0","s234","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img></div>","89,71","850","true","71","500","practice","8","","","","","","",""
"640","89","poldrack-categorize","14","79728","0.0-5.0-0.0-9.0","s234","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img></div>","89,71","850","true","89","500","practice","9","","","","","","",""
"529","71","poldrack-categorize","15","82333","0.0-5.0-0.0-10.0","s234","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img></div>","89,71","850","true","71","500","practice","10","","","","","","",""
"558","89","poldrack-categorize","16","84936","0.0-5.0-0.0-11.0","s234","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img></div>","89,71","850","true","89","500","practice","11","","","","","","",""
"33346","32","poldrack-text","17","118533","0.0-6.0","s234","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","33346","0","fmri_scanner_wait","","","","","","","","","","","","","","","",""
"3333","84","poldrack-text","18","121866","0.0-7.0","s234","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","3333","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"679","84","poldrack-text","19","122545","0.0-8.0","s234","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"680","84","poldrack-text","20","123225","0.0-9.0","s234","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"679","84","poldrack-text","21","123904","0.0-10.0","s234","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"680","84","poldrack-text","22","124584","0.0-11.0","s234","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"679","84","poldrack-text","23","125264","0.0-12.0","s234","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"680","84","poldrack-text","24","125944","0.0-13.0","s234","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"679","84","poldrack-text","25","126624","0.0-14.0","s234","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"680","84","poldrack-text","26","127305","0.0-15.0","s234","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"679","84","poldrack-text","27","127984","0.0-16.0","s234","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"679","84","poldrack-text","28","128665","0.0-17.0","s234","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"679","84","poldrack-text","29","129344","0.0-18.0","s234","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"679","84","poldrack-text","30","130025","0.0-19.0","s234","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"679","84","poldrack-text","31","130705","0.0-20.0","s234","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"679","84","poldrack-text","32","131385","0.0-21.0","s234","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"680","84","poldrack-text","33","132065","0.0-22.0","s234","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
