"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","exp_stage","cue","stim_color","stim_number","task","task_switch","cue_switch","trial_num","correct","correct_response","feedback_duration","exp_id"
"3052","13","text","0","3055","0.0-0.0","s495","","","","","","","","","","","","","","","","","","","",""
"1549","89","poldrack-text","1","5610","0.0-1.0","s495","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1549","500","fmri_response_test","","","","","","","","","","","","","","","",""
"738","71","poldrack-text","2","6850","0.0-2.0","s495","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","738","500","fmri_response_test","","","","","","","","","","","","","","","",""
"24591","","survey-text","3","31957","0.0-3.0","s495","","","","task_setup","{""Q0"":""1"",""Q1"":""1""}","","","","","","","","","","","","","","",""
"20488","32","poldrack-single-stim","4","53451","0.0-4.0","s495","","20488","0","instructions","","<div class = centerbox><div class = center-text style=""font-size:40px""><strong>Color</strong> or <strong>Orange-Blue</strong>: Index Finger if orange and Middle Finger if blue.<br><br><strong>Magnitude</strong> or <strong>High-Low</strong>: Index Finger if >5 and Middle Finger if <5.</div></div>","32","20488","","","","","","","","","","","",""
"","","call-function","5","53451","0.0-5.0-0.0","s495","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","6","53955","0.0-5.0-1.0","s495","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","7","54860","0.0-5.0-2.0","s495","","900","0","cue","","<div class = upperbox><div class = ""center-text"" >Magnitude</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","900","practice","Magnitude","orange","3","magnitude","switch","switch","0","","","",""
"1126","71","poldrack-categorize","8","57368","0.0-5.0-3.0","s495","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Magnitude</div></div><div class = lowerbox><div class = ""stim-text"" style=color:orange;>3</div>","89,71","1000","practice","Magnitude","orange","3","magnitude","switch","switch","0","true","71","500",""
"-1","-1","poldrack-single-stim","9","57872","0.0-5.0-4.0","s495","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","10","57872","0.0-5.0-5.0","s495","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","11","58375","0.0-5.0-6.0","s495","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","12","58478","0.0-5.0-7.0","s495","","100","0","cue","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","100","practice","Color","#1F45FC","2","color","switch","stay","1","","","",""
"1014","71","poldrack-categorize","13","60983","0.0-5.0-8.0","s495","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = ""stim-text"" style=color:#1F45FC;>2</div>","89,71","1000","practice","Color","#1F45FC","2","color","switch","stay","1","true","71","500",""
"-1","-1","poldrack-single-stim","14","61488","0.0-5.0-9.0","s495","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","15","61488","0.0-5.0-10.0","s495","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","16","61991","0.0-5.0-11.0","s495","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","17","62895","0.0-5.0-12.0","s495","","900","0","cue","","<div class = upperbox><div class = ""center-text"" >Magnitude</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","900","practice","Magnitude","orange","4","magnitude","switch","stay","2","","","",""
"654","71","poldrack-categorize","18","65401","0.0-5.0-13.0","s495","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Magnitude</div></div><div class = lowerbox><div class = ""stim-text"" style=color:orange;>4</div>","89,71","1000","practice","Magnitude","orange","4","magnitude","switch","stay","2","true","71","500",""
"-1","-1","poldrack-single-stim","19","65905","0.0-5.0-14.0","s495","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","20","65905","0.0-5.0-15.0","s495","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","21","66409","0.0-5.0-16.0","s495","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","22","66512","0.0-5.0-17.0","s495","","100","0","cue","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","100","practice","Orange-Blue","#1F45FC","4","color","switch","stay","3","","","",""
"980","71","poldrack-categorize","23","69015","0.0-5.0-18.0","s495","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = ""stim-text"" style=color:#1F45FC;>4</div>","89,71","1000","practice","Orange-Blue","#1F45FC","4","color","switch","stay","3","true","71","500",""
"-1","-1","poldrack-single-stim","24","69519","0.0-5.0-19.0","s495","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","25","69520","0.0-5.0-20.0","s495","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","26","70024","0.0-5.0-21.0","s495","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","27","70127","0.0-5.0-22.0","s495","","100","0","cue","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","100","practice","Color","#1F45FC","3","color","stay","switch","4","","","",""
"633","71","poldrack-categorize","28","72631","0.0-5.0-23.0","s495","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = ""stim-text"" style=color:#1F45FC;>3</div>","89,71","1000","practice","Color","#1F45FC","3","color","stay","switch","4","true","71","500",""
"-1","-1","poldrack-single-stim","29","73135","0.0-5.0-24.0","s495","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","30","73136","0.0-5.0-25.0","s495","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","31","73639","0.0-5.0-26.0","s495","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","32","74543","0.0-5.0-27.0","s495","","900","0","cue","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","900","practice","Color","#1F45FC","1","color","stay","stay","5","","","",""
"583","71","poldrack-categorize","33","77047","0.0-5.0-28.0","s495","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = ""stim-text"" style=color:#1F45FC;>1</div>","89,71","1000","practice","Color","#1F45FC","1","color","stay","stay","5","true","71","500",""
"-1","-1","poldrack-single-stim","34","77550","0.0-5.0-29.0","s495","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","35","77550","0.0-5.0-30.0","s495","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","36","78052","0.0-5.0-31.0","s495","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","37","78156","0.0-5.0-32.0","s495","","100","0","cue","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","100","practice","Color","orange","2","color","stay","stay","6","","","",""
"697","89","poldrack-categorize","38","80664","0.0-5.0-33.0","s495","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = ""stim-text"" style=color:orange;>2</div>","89,71","1000","practice","Color","orange","2","color","stay","stay","6","true","89","500",""
"-1","-1","poldrack-single-stim","39","81169","0.0-5.0-34.0","s495","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","40","81169","0.0-5.0-35.0","s495","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","41","81672","0.0-5.0-36.0","s495","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","42","82577","0.0-5.0-37.0","s495","","900","0","cue","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","900","practice","Orange-Blue","orange","7","color","stay","switch","7","","","",""
"585","89","poldrack-categorize","43","85082","0.0-5.0-38.0","s495","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = ""stim-text"" style=color:orange;>7</div>","89,71","1000","practice","Orange-Blue","orange","7","color","stay","switch","7","true","89","500",""
"-1","-1","poldrack-single-stim","44","85587","0.0-5.0-39.0","s495","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","45","85588","0.0-5.0-40.0","s495","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","46","86100","0.0-5.0-41.0","s495","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","47","87004","0.0-5.0-42.0","s495","","900","0","cue","","<div class = upperbox><div class = ""center-text"" >High-Low</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","900","practice","High-Low","orange","7","magnitude","switch","switch","8","","","",""
"599","89","poldrack-categorize","48","89509","0.0-5.0-43.0","s495","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >High-Low</div></div><div class = lowerbox><div class = ""stim-text"" style=color:orange;>7</div>","89,71","1000","practice","High-Low","orange","7","magnitude","switch","switch","8","true","89","500",""
"-1","-1","poldrack-single-stim","49","90012","0.0-5.0-44.0","s495","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","50","90012","0.0-5.0-45.0","s495","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","51","90515","0.0-5.0-46.0","s495","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","52","90618","0.0-5.0-47.0","s495","","100","0","cue","","<div class = upperbox><div class = ""center-text"" >High-Low</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","100","practice","High-Low","orange","6","magnitude","stay","stay","9","","","",""
"786","89","poldrack-categorize","53","93126","0.0-5.0-48.0","s495","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >High-Low</div></div><div class = lowerbox><div class = ""stim-text"" style=color:orange;>6</div>","89,71","1000","practice","High-Low","orange","6","magnitude","stay","stay","9","true","89","500",""
"-1","-1","poldrack-single-stim","54","93629","0.0-5.0-49.0","s495","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","55","93630","0.0-5.0-50.0","s495","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","56","94134","0.0-5.0-51.0","s495","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","57","95038","0.0-5.0-52.0","s495","","900","0","cue","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","900","practice","Orange-Blue","#1F45FC","9","color","switch","stay","10","","","",""
"526","71","poldrack-categorize","58","97544","0.0-5.0-53.0","s495","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = ""stim-text"" style=color:#1F45FC;>9</div>","89,71","1000","practice","Orange-Blue","#1F45FC","9","color","switch","stay","10","true","71","500",""
"-1","-1","poldrack-single-stim","59","98047","0.0-5.0-54.0","s495","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","60","98047","0.0-5.0-55.0","s495","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","61","98549","0.0-5.0-56.0","s495","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","62","99455","0.0-5.0-57.0","s495","","900","0","cue","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","900","practice","Orange-Blue","orange","3","color","stay","stay","11","","","",""
"721","89","poldrack-categorize","63","101960","0.0-5.0-58.0","s495","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = ""stim-text"" style=color:orange;>3</div>","89,71","1000","practice","Orange-Blue","orange","3","color","stay","stay","11","true","89","500",""
"-1","-1","poldrack-single-stim","64","102463","0.0-5.0-59.0","s495","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","65","102463","0.0-5.0-60.0","s495","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","66","102965","0.0-5.0-61.0","s495","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","67","103869","0.0-5.0-62.0","s495","","900","0","cue","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","900","practice","Color","#1F45FC","7","color","stay","switch","12","","","",""
"558","71","poldrack-categorize","68","106375","0.0-5.0-63.0","s495","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = ""stim-text"" style=color:#1F45FC;>7</div>","89,71","1000","practice","Color","#1F45FC","7","color","stay","switch","12","true","71","500",""
"-1","-1","poldrack-single-stim","69","106880","0.0-5.0-64.0","s495","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","70","106880","0.0-5.0-65.0","s495","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","71","107385","0.0-5.0-66.0","s495","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","72","107489","0.0-5.0-67.0","s495","","100","0","cue","","<div class = upperbox><div class = ""center-text"" >Magnitude</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","100","practice","Magnitude","orange","9","magnitude","switch","switch","13","","","",""
"812","89","poldrack-categorize","73","109996","0.0-5.0-68.0","s495","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Magnitude</div></div><div class = lowerbox><div class = ""stim-text"" style=color:orange;>9</div>","89,71","1000","practice","Magnitude","orange","9","magnitude","switch","switch","13","true","89","500",""
"-1","-1","poldrack-single-stim","74","110502","0.0-5.0-69.0","s495","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","75","110502","0.0-5.0-70.0","s495","","","","set_stims","","","","","","","","","","","","","","","",""
