"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","exp_stage","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration","condition","stop_response","exp_id"
"1622","13","text","0","1624","0.0-0.0","s061","","","","","","","","","","","","","","","","","","","",""
"1224","89","poldrack-text","1","3851","0.0-1.0","s061","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1224","500","fmri_response_test","","","","","","","","","","","","","","","",""
"235","71","poldrack-text","2","4588","0.0-2.0","s061","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","235","500","fmri_response_test","","","","","","","","","","","","","","","",""
"3863","","survey-text","3","8957","0.0-3.0","s061","","","","task_setup","{""Q0"":""250""}","","","","","","","","","","","","","","",""
"32771","32","poldrack-single-stim","4","42731","0.0-4.0","s061","","32771","0","instructions","","<div class = instructbox><p class = instruct-text>Only one key is correct for each shape. The correct keys are as follows:<ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img>index finger</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img>index finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img>middle finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img>middle finger</div></li></ul></p><p class = instruct-text><strong>Do not respond if you see the red star if your response was going to be your index finger!</strong></p><p class = instruct-text>We will start with practice</p></div>","32","32771","","","","","","","","","","","",""
"1294","71","poldrack-categorize","5","45084","0.0-5.0-0.0-0.0","s061","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img></div>","89,71","850","true","71","500","practice","0","","","","","","",""
"953","89","poldrack-categorize","6","47688","0.0-5.0-0.0-1.0","s061","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img></div>","89,71","850","true","89","500","practice","1","","","","","","",""
"778","71","poldrack-categorize","7","50293","0.0-5.0-0.0-2.0","s061","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img></div>","89,71","850","true","71","500","practice","2","","","","","","",""
"614","89","poldrack-categorize","8","52899","0.0-5.0-0.0-3.0","s061","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img></div>","89,71","850","true","89","500","practice","3","","","","","","",""
"643","71","poldrack-categorize","9","55503","0.0-5.0-0.0-4.0","s061","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img></div>","89,71","850","true","71","500","practice","4","","","","","","",""
"443","89","poldrack-categorize","10","58109","0.0-5.0-0.0-5.0","s061","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img></div>","89,71","850","true","89","500","practice","5","","","","","","",""
"566","71","poldrack-categorize","11","60713","0.0-5.0-0.0-6.0","s061","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img></div>","89,71","850","true","71","500","practice","6","","","","","","",""
"440","71","poldrack-categorize","12","63318","0.0-5.0-0.0-7.0","s061","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img></div>","89,71","850","true","71","500","practice","7","","","","","","",""
"608","89","poldrack-categorize","13","65923","0.0-5.0-0.0-8.0","s061","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img></div>","89,71","850","true","89","500","practice","8","","","","","","",""
"526","89","poldrack-categorize","14","68526","0.0-5.0-0.0-9.0","s061","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img></div>","89,71","850","true","89","500","practice","9","","","","","","",""
