"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","exp_stage","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration","condition","stop_response","exp_id"
"1944","13","text","0","1947","0.0-0.0","s613","","","","","","","","","","","","","","","","","","","",""
"1399","89","poldrack-text","1","4354","0.0-1.0","s613","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1399","500","fmri_response_test","","","","","","","","","","","","","","","",""
"602","71","poldrack-text","2","5458","0.0-2.0","s613","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","602","500","fmri_response_test","","","","","","","","","","","","","","","",""
"8813","","survey-text","3","14781","0.0-3.0","s613","","","","task_setup","{""Q0"":""250""}","","","","","","","","","","","","","","",""
"35037","32","poldrack-single-stim","4","50850","0.0-4.0","s613","","35037","0","instructions","","<div class = instructbox><p class = instruct-text>Only one key is correct for each shape. The correct keys are as follows:<ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img>index finger</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img>index finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img>middle finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img>middle finger</div></li></ul></p><p class = instruct-text><strong>Do not respond if you see the red star if your response was going to be your index finger!</strong></p><p class = instruct-text>We will start with practice</p></div>","32","35037","","","","","","","","","","","",""
"885","71","poldrack-categorize","5","53207","0.0-5.0-0.0-0.0","s613","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img></div>","89,71","850","true","71","500","practice","0","","","","","","",""
"1014","89","poldrack-categorize","6","55815","0.0-5.0-0.0-1.0","s613","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img></div>","89,71","850","true","89","500","practice","1","","","","","","",""
"416","89","poldrack-categorize","7","58418","0.0-5.0-0.0-2.0","s613","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img></div>","89,71","850","false","71","500","practice","2","","","","","","",""
"617","89","poldrack-categorize","8","61026","0.0-5.0-0.0-3.0","s613","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img></div>","89,71","850","true","89","500","practice","3","","","","","","",""
"506","71","poldrack-categorize","9","63634","0.0-5.0-0.0-4.0","s613","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img></div>","89,71","850","true","71","500","practice","4","","","","","","",""
"431","71","poldrack-categorize","10","66242","0.0-5.0-0.0-5.0","s613","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img></div>","89,71","850","true","71","500","practice","5","","","","","","",""
"556","89","poldrack-categorize","11","68850","0.0-5.0-0.0-6.0","s613","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img></div>","89,71","850","true","89","500","practice","6","","","","","","",""
