"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","exp_stage","cue","stim_color","stim_number","task","task_switch","cue_switch","trial_num","correct","correct_response","feedback_duration","exp_id"
"2210","13","text","0","2213","0.0-0.0","s631","","","","","","","","","","","","","","","","","","","",""
"1154","89","poldrack-text","1","4369","0.0-1.0","s631","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1154","500","fmri_response_test","","","","","","","","","","","","","","","",""
"694","71","poldrack-text","2","5565","0.0-2.0","s631","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","694","500","fmri_response_test","","","","","","","","","","","","","","","",""
"11315","","survey-text","3","17387","0.0-3.0","s631","","","","task_setup","{""Q0"":""2"",""Q1"":""1""}","","","","","","","","","","","","","","",""
"22186","32","poldrack-single-stim","4","40575","0.0-4.0","s631","","22186","0","instructions","","<div class = centerbox><div class = center-text style=""font-size:40px""><strong>Color</strong> or <strong>Orange-Blue</strong>: Middle Finger if orange and Index Finger if blue.<br><br><strong>Magnitude</strong> or <strong>High-Low</strong>: Index Finger if >5 and Middle Finger if <5.</div></div>","32","22186","","","","","","","","","","","",""
"","","call-function","5","40576","0.0-5.0-0.0","s631","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","6","41077","0.0-5.0-1.0","s631","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","7","41979","0.0-5.0-2.0","s631","","900","0","cue","","<div class = upperbox><div class = ""center-text"" >High-Low</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","900","practice","High-Low","orange","8","magnitude","switch","switch","0","","","",""
"677","89","poldrack-categorize","8","44483","0.0-5.0-3.0","s631","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >High-Low</div></div><div class = lowerbox><div class = ""stim-text"" style=color:orange;>8</div>","89,71","1000","practice","High-Low","orange","8","magnitude","switch","switch","0","true","89","500",""
"-1","-1","poldrack-single-stim","9","44984","0.0-5.0-4.0","s631","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","10","44985","0.0-5.0-5.0","s631","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","11","45486","0.0-5.0-6.0","s631","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","12","45587","0.0-5.0-7.0","s631","","100","0","cue","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","100","practice","Orange-Blue","orange","7","color","switch","stay","1","","","",""
