"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","condition","exp_stage","trial_num","correct_response","correct","exp_id"
"1953","13","text","0","1954","0.0-0.0","s557","","","","","","","","","","","","","",""
"1200","89","poldrack-text","1","4158","0.0-1.0","s557","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1200","500","fmri_response_test","","","","","","","","","",""
"1142","71","poldrack-text","2","5801","0.0-2.0","s557","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","1142","500","fmri_response_test","","","","","","","","","",""
"11018","","survey-text","3","17326","0.0-3.0","s557","","","","task_setup","{""Q0"":""3"",""Q1"":""5""}","","","","","","","","",""
"16201","32","poldrack-single-stim","4","34530","0.0-4.0","s557","","16201","500","instructions","","<div class = centerbox><p style = ""font-size:40px"" class = center-block-text>Target Pair (press index finger):</p><p class = center-block-text><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png"" ></img>&nbsp&nbsp&nbsp...followed by...&nbsp&nbsp&nbsp<img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png"" ></img><br></br></p><p style = ""font-size:40px"" class = center-block-text>Otherwise press middle finger</div>","32","16201","","","","","",""
"-1","-1","poldrack-single-stim","5","35536","0.0-5.0-0.0","s557","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>","none","500","AY","practice","0","","",""
"-1","-1","poldrack-single-stim","6","37539","0.0-5.0-1.0","s557","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"876","71","poldrack-single-stim","7","39242","0.0-5.0-2.0","s557","","1700","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe2.png""</img></div></div>","89,71","500","AY","practice","0","71","true",""
"-1","-1","poldrack-single-stim","8","39746","0.0-5.0-3.0","s557","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","1","","",""
"-1","-1","poldrack-single-stim","9","40248","0.0-5.0-4.0","s557","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>","none","500","AX","practice","1","","",""
"-1","-1","poldrack-single-stim","10","42251","0.0-5.0-5.0","s557","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"571","89","poldrack-single-stim","11","43753","0.0-5.0-6.0","s557","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71","500","AX","practice","1","89","true",""
"-1","-1","poldrack-single-stim","12","44256","0.0-5.0-7.0","s557","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","2","","",""
"-1","-1","poldrack-single-stim","13","44758","0.0-5.0-8.0","s557","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue6.png""</img></div></div>","none","500","BX","practice","2","","",""
"-1","-1","poldrack-single-stim","14","46760","0.0-5.0-9.0","s557","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"989","71","poldrack-single-stim","15","49262","0.0-5.0-10.0","s557","","2500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71","500","BX","practice","2","71","true",""
"-1","-1","poldrack-single-stim","16","49766","0.0-5.0-11.0","s557","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","3","","",""
"-1","-1","poldrack-single-stim","17","50267","0.0-5.0-12.0","s557","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>","none","500","AY","practice","3","","",""
"-1","-1","poldrack-single-stim","18","52269","0.0-5.0-13.0","s557","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"693","71","poldrack-single-stim","19","53771","0.0-5.0-14.0","s557","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe4.png""</img></div></div>","89,71","500","AY","practice","3","71","true",""
"-1","-1","poldrack-single-stim","20","54273","0.0-5.0-15.0","s557","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","4","","",""
"-1","-1","poldrack-single-stim","21","54774","0.0-5.0-16.0","s557","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>","none","500","AX","practice","4","","",""
"-1","-1","poldrack-single-stim","22","56776","0.0-5.0-17.0","s557","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"689","89","poldrack-single-stim","23","58278","0.0-5.0-18.0","s557","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71","500","AX","practice","4","89","true",""
"-1","-1","poldrack-single-stim","24","58780","0.0-5.0-19.0","s557","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","5","","",""
"-1","-1","poldrack-single-stim","25","59281","0.0-5.0-20.0","s557","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>","none","500","AX","practice","5","","",""
