"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","exp_stage","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration","condition","stop_response","exp_id"
"2084","13","text","0","2086","0.0-0.0","s645","","","","","","","","","","","","","","","","","","","",""
"3155","71","poldrack-text","1","6244","0.0-1.0","s645","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","3155","500","fmri_response_test","","","","","","","","","","","","","","","",""
"1234","89","poldrack-text","2","7981","0.0-2.0","s645","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1234","500","fmri_response_test","","","","","","","","","","","","","","","",""
"7799","","survey-text","3","16286","0.0-3.0","s645","","","","task_setup","{""Q0"":""50""}","","","","","","","","","","","","","","",""
"34475","32","poldrack-single-stim","4","51789","0.0-4.0","s645","","34475","0","instructions","","<div class = instructbox><p class = instruct-text>Only one key is correct for each shape. The correct keys are as follows:<ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img>middle finger</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img>middle finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img>index finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img>index finger</div></li></ul></p><p class = instruct-text><strong>Do not respond if you see the red star if your response was going to be your middle finger!</strong></p><p class = instruct-text>We will start with practice</p></div>","32","34475","","","","","","","","","","","",""
"737","89","poldrack-categorize","5","54143","0.0-5.0-0.0-0.0","s645","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img></div>","71,89","850","true","89","500","practice","0","","","","","","",""
"610","71","poldrack-categorize","6","56749","0.0-5.0-0.0-1.0","s645","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img></div>","71,89","850","true","71","500","practice","1","","","","","","",""
"482","89","poldrack-categorize","7","59355","0.0-5.0-0.0-2.0","s645","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img></div>","71,89","850","false","71","500","practice","2","","","","","","",""
"524","71","poldrack-categorize","8","61960","0.0-5.0-0.0-3.0","s645","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img></div>","71,89","850","true","71","500","practice","3","","","","","","",""
"510","89","poldrack-categorize","9","64568","0.0-5.0-0.0-4.0","s645","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img></div>","71,89","850","true","89","500","practice","4","","","","","","",""
"490","89","poldrack-categorize","10","67173","0.0-5.0-0.0-5.0","s645","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img></div>","71,89","850","true","89","500","practice","5","","","","","","",""
"539","71","poldrack-categorize","11","69778","0.0-5.0-0.0-6.0","s645","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img></div>","71,89","850","true","71","500","practice","6","","","","","","",""
"536","71","poldrack-categorize","12","72384","0.0-5.0-0.0-7.0","s645","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img></div>","71,89","850","true","71","500","practice","7","","","","","","",""
"571","89","poldrack-categorize","13","74988","0.0-5.0-0.0-8.0","s645","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img></div>","71,89","850","true","89","500","practice","8","","","","","","",""
"484","71","poldrack-categorize","14","77592","0.0-5.0-0.0-9.0","s645","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img></div>","71,89","850","false","89","500","practice","9","","","","","","",""
"660","89","poldrack-categorize","15","80197","0.0-5.0-0.0-10.0","s645","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img></div>","71,89","850","true","89","500","practice","10","","","","","","",""
"689","71","poldrack-categorize","16","82801","0.0-5.0-0.0-11.0","s645","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img></div>","71,89","850","true","71","500","practice","11","","","","","","",""
"22930","32","poldrack-text","17","105983","0.0-6.0","s645","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","22930","0","fmri_scanner_wait","","","","","","","","","","","","","","","",""
"1502","84","poldrack-text","18","107486","0.0-7.0","s645","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1502","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"680","84","poldrack-text","19","108166","0.0-8.0","s645","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"680","84","poldrack-text","20","108846","0.0-9.0","s645","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"678","84","poldrack-text","21","109526","0.0-10.0","s645","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","678","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
