"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","exp_stage","cue","stim_color","stim_number","task","task_switch","cue_switch","trial_num","correct","correct_response","feedback_duration","exp_id"
"2028","13","text","0","2031","0.0-0.0","s621","","","","","","","","","","","","","","","","","","","",""
"9396","89","poldrack-text","1","12431","0.0-1.0","s621","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","9396","500","fmri_response_test","","","","","","","","","","","","","","","",""
"629","71","poldrack-text","2","13564","0.0-2.0","s621","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","629","500","fmri_response_test","","","","","","","","","","","","","","","",""
"10090","","survey-text","3","24163","0.0-3.0","s621","","","","task_setup","{""Q0"":""2"",""Q1"":""2""}","","","","","","","","","","","","","","",""
"32064","32","poldrack-single-stim","4","57232","0.0-4.0","s621","","32064","0","instructions","","<div class = centerbox><div class = center-text style=""font-size:40px""><strong>Color</strong> or <strong>Orange-Blue</strong>: Middle Finger if orange and Index Finger if blue.<br><br><strong>Magnitude</strong> or <strong>High-Low</strong>: Middle Finger if >5 and Index Finger if <5.</div></div>","32","32064","","","","","","","","","","","",""
"","","call-function","5","57232","0.0-5.0-0.0","s621","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","6","57738","0.0-5.0-1.0","s621","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","7","57842","0.0-5.0-2.0","s621","","100","0","cue","","<div class = upperbox><div class = ""center-text"" >High-Low</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","100","practice","High-Low","#1F45FC","1","magnitude","switch","switch","0","","","",""
"943","89","poldrack-categorize","8","60351","0.0-5.0-3.0","s621","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >High-Low</div></div><div class = lowerbox><div class = ""stim-text"" style=color:#1F45FC;>1</div>","89,71","1000","practice","High-Low","#1F45FC","1","magnitude","switch","switch","0","true","89","500",""
"-1","-1","poldrack-single-stim","9","60858","0.0-5.0-4.0","s621","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","10","60858","0.0-5.0-5.0","s621","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","11","61364","0.0-5.0-6.0","s621","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","12","62267","0.0-5.0-7.0","s621","","900","0","cue","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","900","practice","Orange-Blue","#1F45FC","4","color","switch","stay","1","","","",""
"565","89","poldrack-categorize","13","64771","0.0-5.0-8.0","s621","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = ""stim-text"" style=color:#1F45FC;>4</div>","89,71","1000","practice","Orange-Blue","#1F45FC","4","color","switch","stay","1","true","89","500",""
"-1","-1","poldrack-single-stim","14","65273","0.0-5.0-9.0","s621","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","15","65274","0.0-5.0-10.0","s621","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","16","65780","0.0-5.0-11.0","s621","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","17","65882","0.0-5.0-12.0","s621","","100","0","cue","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","100","practice","Color","#1F45FC","7","color","stay","switch","2","","","",""
"1087","89","poldrack-categorize","18","68388","0.0-5.0-13.0","s621","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = ""stim-text"" style=color:#1F45FC;>7</div>","89,71","1000","practice","Color","#1F45FC","7","color","stay","switch","2","true","89","500",""
"-1","-1","poldrack-single-stim","19","68892","0.0-5.0-14.0","s621","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","20","68893","0.0-5.0-15.0","s621","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","21","69395","0.0-5.0-16.0","s621","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","22","70297","0.0-5.0-17.0","s621","","900","0","cue","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","900","practice","Color","orange","7","color","stay","stay","3","","","",""
"428","71","poldrack-categorize","23","72804","0.0-5.0-18.0","s621","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = ""stim-text"" style=color:orange;>7</div>","89,71","1000","practice","Color","orange","7","color","stay","stay","3","true","71","500",""
"-1","-1","poldrack-single-stim","24","73308","0.0-5.0-19.0","s621","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","25","73308","0.0-5.0-20.0","s621","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","26","73812","0.0-5.0-21.0","s621","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","27","73914","0.0-5.0-22.0","s621","","100","0","cue","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","100","practice","Color","#1F45FC","8","color","stay","stay","4","","","",""
"636","89","poldrack-categorize","28","76420","0.0-5.0-23.0","s621","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = ""stim-text"" style=color:#1F45FC;>8</div>","89,71","1000","practice","Color","#1F45FC","8","color","stay","stay","4","true","89","500",""
"-1","-1","poldrack-single-stim","29","76924","0.0-5.0-24.0","s621","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","30","76924","0.0-5.0-25.0","s621","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","31","77428","0.0-5.0-26.0","s621","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","32","78329","0.0-5.0-27.0","s621","","900","0","cue","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","900","practice","Orange-Blue","#1F45FC","4","color","stay","switch","5","","","",""
"436","89","poldrack-categorize","33","80836","0.0-5.0-28.0","s621","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = ""stim-text"" style=color:#1F45FC;>4</div>","89,71","1000","practice","Orange-Blue","#1F45FC","4","color","stay","switch","5","true","89","500",""
"-1","-1","poldrack-single-stim","34","81340","0.0-5.0-29.0","s621","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","35","81341","0.0-5.0-30.0","s621","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","36","81844","0.0-5.0-31.0","s621","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","37","82745","0.0-5.0-32.0","s621","","900","0","cue","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","900","practice","Color","#1F45FC","9","color","stay","switch","6","","","",""
