"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","exp_stage","condition","trial_num","correct_response","correct","exp_id"
"1951","13","text","0","1954","0.0-0.0","s574","","","","","","","","","","","","","",""
"4775","89","poldrack-text","1","7737","0.0-1.0","s574","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","4775","500","fmri_response_test","","","","","","","","","",""
"1008","71","poldrack-text","2","9250","0.0-2.0","s574","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","1008","500","fmri_response_test","","","","","","","","","",""
"14757","","survey-text","3","24513","0.0-3.0","s574","","","","task_setup","{""Q0"":""3"",""Q1"":""3""}","","","","","","","","",""
"25699","32","poldrack-single-stim","4","51217","0.0-4.0","s574","","25699","500","instructions","","<div class = centerbox><p style = ""font-size:40px"" class = center-block-text>Target Pair (press index finger):</p><p class = center-block-text><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png"" ></img>&nbsp&nbsp&nbsp...followed by...&nbsp&nbsp&nbsp<img src = ""/static/experiments/dot_pattern_expectancy/images/probe3.png"" ></img><br></br></p><p style = ""font-size:40px"" class = center-block-text>Otherwise press middle finger</div>","32","25699","","","","","",""
"-1","-1","poldrack-single-stim","5","52228","0.0-5.0-0.0","s574","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue6.png""</img></div></div>","none","500","practice","BY","0","","",""
"-1","-1","poldrack-single-stim","6","54234","0.0-5.0-1.0","s574","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
"416","71","poldrack-single-stim","7","55735","0.0-5.0-2.0","s574","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe2.png""</img></div></div>","89,71","500","practice","BY","0","71","true",""
"-1","-1","poldrack-single-stim","8","56240","0.0-5.0-3.0","s574","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","practice","","1","","",""
"-1","-1","poldrack-single-stim","9","56744","0.0-5.0-4.0","s574","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>","none","500","practice","AX","1","","",""
