"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","exp_stage","condition","trial_num","correct_response","correct","exp_id"
"1595","13","text","0","1598","0.0-0.0","s471","","","","","","","","","","","","","",""
"1557","89","poldrack-text","1","4157","0.0-1.0","s471","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1557","500","fmri_response_test","","","","","","","","","",""
"961","71","poldrack-text","2","5618","0.0-2.0","s471","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","961","500","fmri_response_test","","","","","","","","","",""
"16908","","survey-text","3","23032","0.0-3.0","s471","","","","task_setup","{""Q0"":""5"",""Q1"":""5""}","","","","","","","","",""
"8142","32","poldrack-single-stim","4","32177","0.0-4.0","s471","","8142","500","instructions","","<div class = centerbox><p style = ""font-size:40px"" class = center-block-text>Target Pair (press index finger):</p><p class = center-block-text><img src = ""/static/experiments/dot_pattern_expectancy/images/cue5.png"" ></img>&nbsp&nbsp&nbsp...followed by...&nbsp&nbsp&nbsp<img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png"" ></img><br></br></p><p style = ""font-size:40px"" class = center-block-text>Otherwise press middle finger</div>","32","8142","","","","","",""
"-1","-1","poldrack-single-stim","5","33180","0.0-5.0-0.0","s471","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>","none","500","practice","BX","0","","",""
"-1","-1","poldrack-single-stim","6","35182","0.0-5.0-1.0","s471","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
"697","71","poldrack-single-stim","7","36883","0.0-5.0-2.0","s471","","1700","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71","500","practice","BX","0","71","true",""
"-1","-1","poldrack-single-stim","8","37386","0.0-5.0-3.0","s471","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","practice","","1","","",""
"-1","-1","poldrack-single-stim","9","37888","0.0-5.0-4.0","s471","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>","none","500","practice","BY","1","","",""
"-1","-1","poldrack-single-stim","10","39890","0.0-5.0-5.0","s471","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
"512","89","poldrack-single-stim","11","41791","0.0-5.0-6.0","s471","","1900","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe3.png""</img></div></div>","89,71","500","practice","BY","1","71","false",""
"-1","-1","poldrack-single-stim","12","42293","0.0-5.0-7.0","s471","","500","0","feedback","","<div class = centerbox><div style=""color:red""; class = center-text>Incorrect</div></div>","none","500","practice","","2","","",""
"-1","-1","poldrack-single-stim","13","42794","0.0-5.0-8.0","s471","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue5.png""</img></div></div>","none","500","practice","AX","2","","",""
"-1","-1","poldrack-single-stim","14","44795","0.0-5.0-9.0","s471","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
"969","89","poldrack-single-stim","15","46897","0.0-5.0-10.0","s471","","2100","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71","500","practice","AX","2","89","true",""
"-1","-1","poldrack-single-stim","16","47398","0.0-5.0-11.0","s471","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","practice","","3","","",""
"-1","-1","poldrack-single-stim","17","47900","0.0-5.0-12.0","s471","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue5.png""</img></div></div>","none","500","practice","AX","3","","",""
"-1","-1","poldrack-single-stim","18","49901","0.0-5.0-13.0","s471","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
"474","89","poldrack-single-stim","19","51402","0.0-5.0-14.0","s471","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71","500","practice","AX","3","89","true",""
"-1","-1","poldrack-single-stim","20","51904","0.0-5.0-15.0","s471","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","practice","","4","","",""
"-1","-1","poldrack-single-stim","21","52405","0.0-5.0-16.0","s471","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue5.png""</img></div></div>","none","500","practice","AX","4","","",""
"-1","-1","poldrack-single-stim","22","54406","0.0-5.0-17.0","s471","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
"521","89","poldrack-single-stim","23","55907","0.0-5.0-18.0","s471","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71","500","practice","AX","4","89","true",""
"-1","-1","poldrack-single-stim","24","56409","0.0-5.0-19.0","s471","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","practice","","5","","",""
"-1","-1","poldrack-single-stim","25","56910","0.0-5.0-20.0","s471","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue5.png""</img></div></div>","none","500","practice","AX","5","","",""
"-1","-1","poldrack-single-stim","26","58912","0.0-5.0-21.0","s471","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
"726","89","poldrack-single-stim","27","61213","0.0-5.0-22.0","s471","","2300","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71","500","practice","AX","5","89","true",""
