,action,block_duration,clicked_on_loss_card,exp_stage,experiment_exp_id,gain_amount,key_press,loss_amount,num_cards,num_click_in_round,num_loss_cards,possible_responses,round_points,rt,stim_duration,text,time_elapsed,total_cards,trial_id,trial_type,which_round,worker_id
23,draw_card,1269.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,1.0,1.0,"89,71",12.0,1269.0,1269.0,,4284,,stim,poldrack-single-stim,1.0,s577
24,draw_card,877.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,2.0,1.0,"89,71",24.0,877.0,877.0,,5163,,stim,poldrack-single-stim,1.0,s577
25,draw_card,709.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,3.0,1.0,"89,71",36.0,709.0,709.0,,5873,,stim,poldrack-single-stim,1.0,s577
26,draw_card,1660.0,1.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,4.0,1.0,"89,71",-34.0,1660.0,1660.0,,7534,4.0,stim,poldrack-single-stim,1.0,s577
28,draw_card,726.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,1.0,1.0,"89,71",14.0,726.0,726.0,,10723,,stim,poldrack-single-stim,2.0,s577
29,draw_card,419.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,2.0,1.0,"89,71",28.0,419.0,419.0,,11143,,stim,poldrack-single-stim,2.0,s577
30,end_round,746.0,0.0,test,columbia_card_task_fmri,14.0,71.0,-75.0,6.0,2.0,1.0,"89,71",28.0,746.0,746.0,,11890,2.0,stim,poldrack-single-stim,2.0,s577
32,draw_card,525.0,1.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,1.0,1.0,"89,71",-70.0,525.0,525.0,,14873,1.0,stim,poldrack-single-stim,3.0,s577
34,end_round,955.0,0.0,test,columbia_card_task_fmri,17.0,71.0,-75.0,6.0,0.0,1.0,"89,71",0.0,955.0,955.0,,18354,0.0,stim,poldrack-single-stim,4.0,s577
36,draw_card,915.0,1.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,1.0,2.0,"89,71",-60.0,915.0,915.0,,21729,1.0,stim,poldrack-single-stim,5.0,s577
38,draw_card,1080.0,0.0,test,columbia_card_task_fmri,29.0,89.0,-75.0,8.0,1.0,2.0,"89,71",29.0,1080.0,1080.0,,25472,,stim,poldrack-single-stim,6.0,s577
39,draw_card,524.0,0.0,test,columbia_card_task_fmri,29.0,89.0,-75.0,8.0,2.0,2.0,"89,71",58.0,524.0,524.0,,25997,,stim,poldrack-single-stim,6.0,s577
40,draw_card,1422.0,0.0,test,columbia_card_task_fmri,29.0,89.0,-75.0,8.0,3.0,2.0,"89,71",87.0,1422.0,1422.0,,27420,,stim,poldrack-single-stim,6.0,s577
41,end_round,660.0,0.0,test,columbia_card_task_fmri,29.0,71.0,-75.0,8.0,3.0,2.0,"89,71",87.0,660.0,660.0,,28082,3.0,stim,poldrack-single-stim,6.0,s577
43,draw_card,763.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,9.0,1.0,2.0,"89,71",17.0,763.0,763.0,,31235,,stim,poldrack-single-stim,7.0,s577
44,draw_card,484.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,9.0,2.0,2.0,"89,71",34.0,484.0,484.0,,31721,,stim,poldrack-single-stim,7.0,s577
45,draw_card,1107.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,9.0,3.0,2.0,"89,71",51.0,1107.0,1107.0,,32830,,stim,poldrack-single-stim,7.0,s577
46,draw_card,1893.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,9.0,4.0,2.0,"89,71",68.0,1893.0,1893.0,,34725,,stim,poldrack-single-stim,7.0,s577
47,end_round,802.0,0.0,test,columbia_card_task_fmri,17.0,71.0,-65.0,9.0,4.0,2.0,"89,71",68.0,802.0,802.0,,35529,4.0,stim,poldrack-single-stim,7.0,s577
49,draw_card,781.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-95.0,10.0,1.0,1.0,"89,71",14.0,781.0,781.0,,38840,,stim,poldrack-single-stim,8.0,s577
50,draw_card,530.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-95.0,10.0,2.0,1.0,"89,71",28.0,530.0,530.0,,39372,,stim,poldrack-single-stim,8.0,s577
51,draw_card,654.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-95.0,10.0,3.0,1.0,"89,71",42.0,654.0,654.0,,40027,,stim,poldrack-single-stim,8.0,s577
52,draw_card,1167.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-95.0,10.0,4.0,1.0,"89,71",56.0,1167.0,1167.0,,41197,,stim,poldrack-single-stim,8.0,s577
53,end_round,615.0,0.0,test,columbia_card_task_fmri,14.0,71.0,-95.0,10.0,4.0,1.0,"89,71",56.0,615.0,615.0,,41813,4.0,stim,poldrack-single-stim,8.0,s577
55,draw_card,627.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,1.0,2.0,"89,71",15.0,627.0,627.0,,45038,,stim,poldrack-single-stim,9.0,s577
56,draw_card,431.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,2.0,2.0,"89,71",30.0,431.0,431.0,,45470,,stim,poldrack-single-stim,9.0,s577
57,draw_card,539.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,3.0,2.0,"89,71",45.0,539.0,539.0,,46011,,stim,poldrack-single-stim,9.0,s577
58,draw_card,927.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,4.0,2.0,"89,71",60.0,927.0,927.0,,46940,,stim,poldrack-single-stim,9.0,s577
59,end_round,773.0,0.0,test,columbia_card_task_fmri,15.0,71.0,-65.0,10.0,4.0,2.0,"89,71",60.0,773.0,773.0,,47715,4.0,stim,poldrack-single-stim,9.0,s577
61,draw_card,519.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,10.0,1.0,2.0,"89,71",17.0,519.0,519.0,,50625,,stim,poldrack-single-stim,10.0,s577
62,draw_card,565.0,1.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,10.0,2.0,2.0,"89,71",-48.0,565.0,565.0,,51191,2.0,stim,poldrack-single-stim,10.0,s577
64,draw_card,666.0,0.0,test,columbia_card_task_fmri,13.0,89.0,-70.0,12.0,1.0,2.0,"89,71",13.0,666.0,666.0,,54452,,stim,poldrack-single-stim,11.0,s577
65,draw_card,367.0,0.0,test,columbia_card_task_fmri,13.0,89.0,-70.0,12.0,2.0,2.0,"89,71",26.0,367.0,367.0,,54820,,stim,poldrack-single-stim,11.0,s577
66,draw_card,702.0,0.0,test,columbia_card_task_fmri,13.0,89.0,-70.0,12.0,3.0,2.0,"89,71",39.0,702.0,702.0,,55524,,stim,poldrack-single-stim,11.0,s577
67,draw_card,712.0,1.0,test,columbia_card_task_fmri,13.0,89.0,-70.0,12.0,4.0,2.0,"89,71",-31.0,712.0,712.0,,56237,4.0,stim,poldrack-single-stim,11.0,s577
69,draw_card,513.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-80.0,12.0,1.0,2.0,"89,71",15.0,513.0,513.0,,59074,,stim,poldrack-single-stim,12.0,s577
70,draw_card,421.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-80.0,12.0,2.0,2.0,"89,71",30.0,421.0,421.0,,59496,,stim,poldrack-single-stim,12.0,s577
71,draw_card,501.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-80.0,12.0,3.0,2.0,"89,71",45.0,501.0,501.0,,60000,,stim,poldrack-single-stim,12.0,s577
72,draw_card,1020.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-80.0,12.0,4.0,2.0,"89,71",60.0,1020.0,1020.0,,61023,,stim,poldrack-single-stim,12.0,s577
73,draw_card,914.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-80.0,12.0,5.0,2.0,"89,71",75.0,914.0,914.0,,61938,,stim,poldrack-single-stim,12.0,s577
74,end_round,835.0,0.0,test,columbia_card_task_fmri,15.0,71.0,-80.0,12.0,5.0,2.0,"89,71",75.0,835.0,835.0,,62775,5.0,stim,poldrack-single-stim,12.0,s577
