,action,block_duration,clicked_on_loss_card,exp_stage,experiment_exp_id,gain_amount,key_press,loss_amount,num_cards,num_click_in_round,num_loss_cards,possible_responses,round_points,rt,stim_duration,text,time_elapsed,total_cards,trial_id,trial_type,which_round,worker_id
23,draw_card,3772.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,1.0,1.0,"89,71",12.0,3772.0,3772.0,,6781,,stim,poldrack-single-stim,1.0,s546
24,draw_card,1101.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,2.0,1.0,"89,71",24.0,1101.0,1101.0,,7883,,stim,poldrack-single-stim,1.0,s546
25,draw_card,424.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,3.0,1.0,"89,71",36.0,424.0,424.0,,8309,,stim,poldrack-single-stim,1.0,s546
26,end_round,933.0,0.0,test,columbia_card_task_fmri,12.0,71.0,-70.0,6.0,3.0,1.0,"89,71",36.0,933.0,933.0,,9244,3.0,stim,poldrack-single-stim,1.0,s546
28,draw_card,4272.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,1.0,1.0,"89,71",14.0,4272.0,4272.0,,15771,,stim,poldrack-single-stim,2.0,s546
29,draw_card,422.0,1.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,2.0,1.0,"89,71",-61.0,422.0,422.0,,16195,2.0,stim,poldrack-single-stim,2.0,s546
31,draw_card,4204.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,1.0,1.0,"89,71",15.0,4204.0,4204.0,,22788,,stim,poldrack-single-stim,3.0,s546
32,draw_card,1294.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,2.0,1.0,"89,71",30.0,1294.0,1294.0,,24083,,stim,poldrack-single-stim,3.0,s546
33,end_round,1020.0,0.0,test,columbia_card_task_fmri,15.0,71.0,-70.0,6.0,2.0,1.0,"89,71",30.0,1020.0,1020.0,,25104,2.0,stim,poldrack-single-stim,3.0,s546
35,draw_card,1705.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,1.0,1.0,"89,71",17.0,1705.0,1705.0,,29404,,stim,poldrack-single-stim,4.0,s546
36,draw_card,446.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,2.0,1.0,"89,71",34.0,446.0,446.0,,29852,,stim,poldrack-single-stim,4.0,s546
37,end_round,1017.0,0.0,test,columbia_card_task_fmri,17.0,71.0,-75.0,6.0,2.0,1.0,"89,71",34.0,1017.0,1017.0,,30871,2.0,stim,poldrack-single-stim,4.0,s546
39,draw_card,4848.0,0.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,1.0,2.0,"89,71",24.0,4848.0,4848.0,,38381,,stim,poldrack-single-stim,5.0,s546
40,draw_card,292.0,0.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,2.0,2.0,"89,71",48.0,292.0,292.0,,38675,,stim,poldrack-single-stim,5.0,s546
41,draw_card,223.0,0.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,3.0,2.0,"89,71",72.0,223.0,223.0,,38900,,stim,poldrack-single-stim,5.0,s546
42,draw_card,264.0,0.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,4.0,2.0,"89,71",96.0,264.0,264.0,,39166,,stim,poldrack-single-stim,5.0,s546
43,end_round,2935.0,0.0,test,columbia_card_task_fmri,24.0,71.0,-60.0,8.0,4.0,2.0,"89,71",96.0,2935.0,2935.0,,42103,4.0,stim,poldrack-single-stim,5.0,s546
45,draw_card,2991.0,0.0,test,columbia_card_task_fmri,29.0,89.0,-75.0,8.0,1.0,2.0,"89,71",29.0,2991.0,2991.0,,47484,,stim,poldrack-single-stim,6.0,s546
46,draw_card,245.0,1.0,test,columbia_card_task_fmri,29.0,89.0,-75.0,8.0,2.0,2.0,"89,71",-46.0,245.0,245.0,,47731,2.0,stim,poldrack-single-stim,6.0,s546
48,draw_card,5134.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,9.0,1.0,2.0,"89,71",17.0,5134.0,5134.0,,55256,,stim,poldrack-single-stim,7.0,s546
49,draw_card,357.0,1.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,9.0,2.0,2.0,"89,71",-48.0,357.0,357.0,,55615,2.0,stim,poldrack-single-stim,7.0,s546
51,end_round,1093.0,0.0,test,columbia_card_task_fmri,14.0,71.0,-95.0,10.0,0.0,1.0,"89,71",0.0,1093.0,1093.0,,58963,0.0,stim,poldrack-single-stim,8.0,s546
53,draw_card,2498.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,1.0,2.0,"89,71",15.0,2498.0,2498.0,,63782,,stim,poldrack-single-stim,9.0,s546
54,draw_card,313.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,2.0,2.0,"89,71",30.0,313.0,313.0,,64097,,stim,poldrack-single-stim,9.0,s546
55,draw_card,371.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,3.0,2.0,"89,71",45.0,371.0,371.0,,64470,,stim,poldrack-single-stim,9.0,s546
56,draw_card,1308.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,4.0,2.0,"89,71",60.0,1308.0,1308.0,,65780,,stim,poldrack-single-stim,9.0,s546
57,end_round,695.0,0.0,test,columbia_card_task_fmri,15.0,71.0,-65.0,10.0,4.0,2.0,"89,71",60.0,695.0,695.0,,66477,4.0,stim,poldrack-single-stim,9.0,s546
59,draw_card,2065.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,10.0,1.0,2.0,"89,71",17.0,2065.0,2065.0,,70796,,stim,poldrack-single-stim,10.0,s546
60,draw_card,355.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,10.0,2.0,2.0,"89,71",34.0,355.0,355.0,,71153,,stim,poldrack-single-stim,10.0,s546
61,draw_card,687.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,10.0,3.0,2.0,"89,71",51.0,687.0,687.0,,71842,,stim,poldrack-single-stim,10.0,s546
62,draw_card,432.0,1.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,10.0,4.0,2.0,"89,71",-14.0,432.0,432.0,,72275,4.0,stim,poldrack-single-stim,10.0,s546
64,end_round,2465.0,0.0,test,columbia_card_task_fmri,13.0,71.0,-70.0,12.0,0.0,2.0,"89,71",0.0,2465.0,2465.0,,76997,0.0,stim,poldrack-single-stim,11.0,s546
66,end_round,1022.0,0.0,test,columbia_card_task_fmri,15.0,71.0,-80.0,12.0,0.0,2.0,"89,71",0.0,1022.0,1022.0,,80408,0.0,stim,poldrack-single-stim,12.0,s546
68,draw_card,3360.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-65.0,15.0,1.0,3.0,"89,71",14.0,3360.0,3360.0,,86160,,stim,poldrack-single-stim,13.0,s546
69,draw_card,237.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-65.0,15.0,2.0,3.0,"89,71",28.0,237.0,237.0,,86399,,stim,poldrack-single-stim,13.0,s546
70,draw_card,227.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-65.0,15.0,3.0,3.0,"89,71",42.0,227.0,227.0,,86628,,stim,poldrack-single-stim,13.0,s546
71,draw_card,225.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-65.0,15.0,4.0,3.0,"89,71",56.0,225.0,225.0,,86855,,stim,poldrack-single-stim,13.0,s546
72,draw_card,283.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-65.0,15.0,5.0,3.0,"89,71",70.0,283.0,283.0,,87140,,stim,poldrack-single-stim,13.0,s546
73,end_round,1386.0,0.0,test,columbia_card_task_fmri,14.0,71.0,-65.0,15.0,5.0,3.0,"89,71",70.0,1386.0,1386.0,,88528,5.0,stim,poldrack-single-stim,13.0,s546
75,end_round,1281.0,0.0,test,columbia_card_task_fmri,1.0,71.0,-45.0,16.0,0.0,1.0,"89,71",0.0,1281.0,1281.0,,92541,0.0,stim,poldrack-single-stim,14.0,s546
77,draw_card,2378.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,16.0,1.0,3.0,"89,71",15.0,2378.0,2378.0,,97378,,stim,poldrack-single-stim,15.0,s546
78,draw_card,253.0,1.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,16.0,2.0,3.0,"89,71",-55.0,253.0,253.0,,97633,2.0,stim,poldrack-single-stim,15.0,s546
