,action,block_duration,clicked_on_loss_card,exp_stage,experiment_exp_id,gain_amount,key_press,loss_amount,num_cards,num_click_in_round,num_loss_cards,possible_responses,round_points,rt,stim_duration,text,time_elapsed,total_cards,trial_id,trial_type,which_round,worker_id
23,draw_card,2994.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,1.0,1.0,"89,71",12.0,2994.0,2994.0,,6009,,stim,poldrack-single-stim,1.0,s579
24,draw_card,1655.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,2.0,1.0,"89,71",24.0,1655.0,1655.0,,7667,,stim,poldrack-single-stim,1.0,s579
25,end_round,1386.0,0.0,test,columbia_card_task_fmri,12.0,71.0,-70.0,6.0,2.0,1.0,"89,71",24.0,1386.0,1386.0,,9055,2.0,stim,poldrack-single-stim,1.0,s579
27,draw_card,3269.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,1.0,1.0,"89,71",14.0,3269.0,3269.0,,14578,,stim,poldrack-single-stim,2.0,s579
28,draw_card,1407.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,2.0,1.0,"89,71",28.0,1407.0,1407.0,,15986,,stim,poldrack-single-stim,2.0,s579
29,draw_card,4735.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,3.0,1.0,"89,71",42.0,4735.0,4735.0,,20723,,stim,poldrack-single-stim,2.0,s579
30,end_round,526.0,0.0,test,columbia_card_task_fmri,14.0,71.0,-75.0,6.0,3.0,1.0,"89,71",42.0,526.0,526.0,,21251,3.0,stim,poldrack-single-stim,2.0,s579
32,draw_card,2384.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,1.0,1.0,"89,71",15.0,2384.0,2384.0,,26025,,stim,poldrack-single-stim,3.0,s579
33,draw_card,2081.0,1.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,2.0,1.0,"89,71",-55.0,2081.0,2081.0,,28108,2.0,stim,poldrack-single-stim,3.0,s579
35,draw_card,1638.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,1.0,1.0,"89,71",17.0,1638.0,1638.0,,32339,,stim,poldrack-single-stim,4.0,s579
36,draw_card,1461.0,1.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,2.0,1.0,"89,71",-58.0,1461.0,1461.0,,33801,2.0,stim,poldrack-single-stim,4.0,s579
38,draw_card,1859.0,1.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,1.0,2.0,"89,71",-60.0,1859.0,1859.0,,38327,1.0,stim,poldrack-single-stim,5.0,s579
40,draw_card,1843.0,0.0,test,columbia_card_task_fmri,29.0,89.0,-75.0,8.0,1.0,2.0,"89,71",29.0,1843.0,1843.0,,42562,,stim,poldrack-single-stim,6.0,s579
41,draw_card,5740.0,1.0,test,columbia_card_task_fmri,29.0,89.0,-75.0,8.0,2.0,2.0,"89,71",-46.0,5740.0,5740.0,,48304,2.0,stim,poldrack-single-stim,6.0,s579
43,draw_card,1184.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,9.0,1.0,2.0,"89,71",17.0,1184.0,1184.0,,51881,,stim,poldrack-single-stim,7.0,s579
44,end_round,3267.0,0.0,test,columbia_card_task_fmri,17.0,71.0,-65.0,9.0,1.0,2.0,"89,71",17.0,3267.0,3267.0,,55150,1.0,stim,poldrack-single-stim,7.0,s579
46,end_round,2727.0,0.0,test,columbia_card_task_fmri,14.0,71.0,-95.0,10.0,0.0,1.0,"89,71",0.0,2727.0,2727.0,,60134,0.0,stim,poldrack-single-stim,8.0,s579
48,draw_card,1917.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,1.0,2.0,"89,71",15.0,1917.0,1917.0,,64375,,stim,poldrack-single-stim,9.0,s579
49,end_round,3362.0,0.0,test,columbia_card_task_fmri,15.0,71.0,-65.0,10.0,1.0,2.0,"89,71",15.0,3362.0,3362.0,,67739,1.0,stim,poldrack-single-stim,9.0,s579
51,draw_card,2525.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,10.0,1.0,2.0,"89,71",17.0,2525.0,2525.0,,72519,,stim,poldrack-single-stim,10.0,s579
52,draw_card,1664.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,10.0,2.0,2.0,"89,71",34.0,1664.0,1664.0,,74185,,stim,poldrack-single-stim,10.0,s579
