,action,clicked_on_loss_card,exp_stage,experiment_exp_id,gain_amount,key_press,loss_amount,num_cards,num_click_in_round,num_loss_cards,possible_responses,round_points,rt,text,time_elapsed,total_cards,trial_id,trial_type,which_round,worker_id
23,draw_card,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,1.0,1.0,"89,71",12.0,5695.0,,8702,,stim,poldrack-single-stim,1.0,s483
24,draw_card,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,2.0,1.0,"89,71",24.0,1440.0,,10145,,stim,poldrack-single-stim,1.0,s483
25,draw_card,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,3.0,1.0,"89,71",36.0,2030.0,,12176,,stim,poldrack-single-stim,1.0,s483
26,end_round,0.0,test,columbia_card_task_fmri,12.0,71.0,-70.0,6.0,3.0,1.0,"89,71",36.0,2730.0,,14907,3.0,stim,poldrack-single-stim,1.0,s483
28,draw_card,1.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,1.0,1.0,"89,71",-75.0,4841.0,,22206,1.0,stim,poldrack-single-stim,2.0,s483
30,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,1.0,1.0,"89,71",15.0,4552.0,,29217,,stim,poldrack-single-stim,3.0,s483
31,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,2.0,1.0,"89,71",30.0,1045.0,,30265,,stim,poldrack-single-stim,3.0,s483
32,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,3.0,1.0,"89,71",45.0,653.0,,30919,,stim,poldrack-single-stim,3.0,s483
33,draw_card,1.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,4.0,1.0,"89,71",-25.0,725.0,,31645,4.0,stim,poldrack-single-stim,3.0,s483
35,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,1.0,1.0,"89,71",17.0,6570.0,,40741,,stim,poldrack-single-stim,4.0,s483
36,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,2.0,1.0,"89,71",34.0,629.0,,41372,,stim,poldrack-single-stim,4.0,s483
37,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,3.0,1.0,"89,71",51.0,1026.0,,42400,,stim,poldrack-single-stim,4.0,s483
38,draw_card,1.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,4.0,1.0,"89,71",-24.0,2277.0,,44678,4.0,stim,poldrack-single-stim,4.0,s483
40,draw_card,0.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,1.0,2.0,"89,71",24.0,2566.0,,49703,,stim,poldrack-single-stim,5.0,s483
41,draw_card,1.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,2.0,2.0,"89,71",-36.0,493.0,,50198,2.0,stim,poldrack-single-stim,5.0,s483
43,draw_card,0.0,test,columbia_card_task_fmri,29.0,89.0,-75.0,8.0,1.0,2.0,"89,71",29.0,2309.0,,55170,,stim,poldrack-single-stim,6.0,s483
44,draw_card,1.0,test,columbia_card_task_fmri,29.0,89.0,-75.0,8.0,2.0,2.0,"89,71",-46.0,493.0,,55665,2.0,stim,poldrack-single-stim,6.0,s483
46,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,9.0,1.0,2.0,"89,71",17.0,564.0,,58619,,stim,poldrack-single-stim,7.0,s483
47,draw_card,1.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,9.0,2.0,2.0,"89,71",-48.0,547.0,,59167,2.0,stim,poldrack-single-stim,7.0,s483
49,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-95.0,10.0,1.0,1.0,"89,71",14.0,1482.0,,63175,,stim,poldrack-single-stim,8.0,s483
50,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-95.0,10.0,2.0,1.0,"89,71",28.0,1152.0,,64329,,stim,poldrack-single-stim,8.0,s483
51,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-95.0,10.0,3.0,1.0,"89,71",42.0,1167.0,,65497,,stim,poldrack-single-stim,8.0,s483
52,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-95.0,10.0,4.0,1.0,"89,71",56.0,808.0,,66307,,stim,poldrack-single-stim,8.0,s483
53,end_round,0.0,test,columbia_card_task_fmri,14.0,71.0,-95.0,10.0,4.0,1.0,"89,71",56.0,927.0,,67235,4.0,stim,poldrack-single-stim,8.0,s483
55,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,1.0,2.0,"89,71",15.0,2446.0,,72277,,stim,poldrack-single-stim,9.0,s483
56,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,2.0,2.0,"89,71",30.0,1169.0,,73448,,stim,poldrack-single-stim,9.0,s483
57,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,3.0,2.0,"89,71",45.0,763.0,,74213,,stim,poldrack-single-stim,9.0,s483
58,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,4.0,2.0,"89,71",60.0,731.0,,74945,,stim,poldrack-single-stim,9.0,s483
59,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,5.0,2.0,"89,71",75.0,2044.0,,76991,,stim,poldrack-single-stim,9.0,s483
60,end_round,0.0,test,columbia_card_task_fmri,15.0,71.0,-65.0,10.0,5.0,2.0,"89,71",75.0,711.0,,77703,5.0,stim,poldrack-single-stim,9.0,s483
62,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,10.0,1.0,2.0,"89,71",17.0,1862.0,,81955,,stim,poldrack-single-stim,10.0,s483
63,draw_card,1.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,10.0,2.0,2.0,"89,71",-48.0,3245.0,,85203,2.0,stim,poldrack-single-stim,10.0,s483
65,draw_card,0.0,test,columbia_card_task_fmri,13.0,89.0,-70.0,12.0,1.0,2.0,"89,71",13.0,492.0,,88288,,stim,poldrack-single-stim,11.0,s483
66,draw_card,0.0,test,columbia_card_task_fmri,13.0,89.0,-70.0,12.0,2.0,2.0,"89,71",26.0,3658.0,,91947,,stim,poldrack-single-stim,11.0,s483
67,draw_card,0.0,test,columbia_card_task_fmri,13.0,89.0,-70.0,12.0,3.0,2.0,"89,71",39.0,685.0,,92634,,stim,poldrack-single-stim,11.0,s483
68,draw_card,0.0,test,columbia_card_task_fmri,13.0,89.0,-70.0,12.0,4.0,2.0,"89,71",52.0,632.0,,93269,,stim,poldrack-single-stim,11.0,s483
69,end_round,0.0,test,columbia_card_task_fmri,13.0,71.0,-70.0,12.0,4.0,2.0,"89,71",52.0,955.0,,94227,4.0,stim,poldrack-single-stim,11.0,s483
71,draw_card,1.0,test,columbia_card_task_fmri,15.0,89.0,-80.0,12.0,1.0,2.0,"89,71",-80.0,553.0,,97102,1.0,stim,poldrack-single-stim,12.0,s483
73,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-65.0,15.0,1.0,3.0,"89,71",14.0,561.0,,99920,,stim,poldrack-single-stim,13.0,s483
74,draw_card,1.0,test,columbia_card_task_fmri,14.0,89.0,-65.0,15.0,2.0,3.0,"89,71",-51.0,1066.0,,100988,2.0,stim,poldrack-single-stim,13.0,s483
76,end_round,0.0,test,columbia_card_task_fmri,1.0,71.0,-45.0,16.0,0.0,1.0,"89,71",0.0,4170.0,,107616,0.0,stim,poldrack-single-stim,14.0,s483
78,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,16.0,1.0,3.0,"89,71",15.0,3817.0,,114707,,stim,poldrack-single-stim,15.0,s483
79,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,16.0,2.0,3.0,"89,71",30.0,3491.0,,118200,,stim,poldrack-single-stim,15.0,s483
80,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,16.0,3.0,3.0,"89,71",45.0,1227.0,,119430,,stim,poldrack-single-stim,15.0,s483
81,draw_card,1.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,16.0,4.0,3.0,"89,71",-25.0,693.0,,120125,4.0,stim,poldrack-single-stim,15.0,s483
83,draw_card,0.0,test,columbia_card_task_fmri,30.0,89.0,-50.0,10.0,1.0,3.0,"89,71",30.0,1367.0,,123747,,stim,poldrack-single-stim,16.0,s483
84,draw_card,1.0,test,columbia_card_task_fmri,30.0,89.0,-50.0,10.0,2.0,3.0,"89,71",-20.0,2578.0,,126327,2.0,stim,poldrack-single-stim,16.0,s483
86,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-70.0,15.0,1.0,2.0,"89,71",17.0,531.0,,129114,,stim,poldrack-single-stim,17.0,s483
87,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-70.0,15.0,2.0,2.0,"89,71",34.0,1853.0,,130969,,stim,poldrack-single-stim,17.0,s483
88,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-70.0,15.0,3.0,2.0,"89,71",51.0,3045.0,,134016,,stim,poldrack-single-stim,17.0,s483
89,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-70.0,15.0,4.0,2.0,"89,71",68.0,675.0,,134693,,stim,poldrack-single-stim,17.0,s483
90,draw_card,1.0,test,columbia_card_task_fmri,17.0,89.0,-70.0,15.0,5.0,2.0,"89,71",-2.0,775.0,,135470,5.0,stim,poldrack-single-stim,17.0,s483
92,draw_card,0.0,test,columbia_card_task_fmri,7.0,89.0,-95.0,16.0,1.0,1.0,"89,71",7.0,2611.0,,140405,,stim,poldrack-single-stim,18.0,s483
93,draw_card,0.0,test,columbia_card_task_fmri,7.0,89.0,-95.0,16.0,2.0,1.0,"89,71",14.0,1605.0,,142011,,stim,poldrack-single-stim,18.0,s483
94,draw_card,0.0,test,columbia_card_task_fmri,7.0,89.0,-95.0,16.0,3.0,1.0,"89,71",21.0,800.0,,142813,,stim,poldrack-single-stim,18.0,s483
95,draw_card,1.0,test,columbia_card_task_fmri,7.0,89.0,-95.0,16.0,4.0,1.0,"89,71",-74.0,1586.0,,144400,4.0,stim,poldrack-single-stim,18.0,s483
97,draw_card,0.0,test,columbia_card_task_fmri,9.0,89.0,-100.0,16.0,1.0,1.0,"89,71",9.0,458.0,,147591,,stim,poldrack-single-stim,19.0,s483
98,draw_card,0.0,test,columbia_card_task_fmri,9.0,89.0,-100.0,16.0,2.0,1.0,"89,71",18.0,1956.0,,149549,,stim,poldrack-single-stim,19.0,s483
99,end_round,0.0,test,columbia_card_task_fmri,9.0,71.0,-100.0,16.0,2.0,1.0,"89,71",18.0,1229.0,,150779,2.0,stim,poldrack-single-stim,19.0,s483
101,draw_card,1.0,test,columbia_card_task_fmri,15.0,89.0,-80.0,16.0,1.0,2.0,"89,71",-80.0,517.0,,153687,1.0,stim,poldrack-single-stim,20.0,s483
103,draw_card,0.0,test,columbia_card_task_fmri,16.0,89.0,-70.0,16.0,1.0,2.0,"89,71",16.0,3413.0,,159425,,stim,poldrack-single-stim,21.0,s483
104,draw_card,0.0,test,columbia_card_task_fmri,16.0,89.0,-70.0,16.0,2.0,2.0,"89,71",32.0,847.0,,160274,,stim,poldrack-single-stim,21.0,s483
105,draw_card,0.0,test,columbia_card_task_fmri,16.0,89.0,-70.0,16.0,3.0,2.0,"89,71",48.0,1555.0,,161830,,stim,poldrack-single-stim,21.0,s483
106,draw_card,0.0,test,columbia_card_task_fmri,16.0,89.0,-70.0,16.0,4.0,2.0,"89,71",64.0,539.0,,162372,,stim,poldrack-single-stim,21.0,s483
107,draw_card,0.0,test,columbia_card_task_fmri,16.0,89.0,-70.0,16.0,5.0,2.0,"89,71",80.0,596.0,,162971,,stim,poldrack-single-stim,21.0,s483
108,end_round,0.0,test,columbia_card_task_fmri,16.0,71.0,-70.0,16.0,5.0,2.0,"89,71",80.0,1012.0,,163985,5.0,stim,poldrack-single-stim,21.0,s483
110,draw_card,0.0,test,columbia_card_task_fmri,30.0,89.0,-45.0,16.0,1.0,5.0,"89,71",30.0,610.0,,166851,,stim,poldrack-single-stim,22.0,s483
111,draw_card,0.0,test,columbia_card_task_fmri,30.0,89.0,-45.0,16.0,2.0,5.0,"89,71",60.0,425.0,,167278,,stim,poldrack-single-stim,22.0,s483
112,draw_card,0.0,test,columbia_card_task_fmri,30.0,89.0,-45.0,16.0,3.0,5.0,"89,71",90.0,3707.0,,170987,,stim,poldrack-single-stim,22.0,s483
113,end_round,0.0,test,columbia_card_task_fmri,30.0,71.0,-45.0,16.0,3.0,5.0,"89,71",90.0,1222.0,,172212,3.0,stim,poldrack-single-stim,22.0,s483
115,draw_card,0.0,test,columbia_card_task_fmri,13.0,89.0,-75.0,6.0,1.0,1.0,"89,71",13.0,861.0,,175327,,stim,poldrack-single-stim,23.0,s483
116,draw_card,0.0,test,columbia_card_task_fmri,13.0,89.0,-75.0,6.0,2.0,1.0,"89,71",26.0,3510.0,,178840,,stim,poldrack-single-stim,23.0,s483
