,action,block_duration,clicked_on_loss_card,exp_stage,experiment_exp_id,gain_amount,key_press,loss_amount,num_cards,num_click_in_round,num_loss_cards,possible_responses,round_points,rt,stim_duration,text,time_elapsed,total_cards,trial_id,trial_type,which_round,worker_id
23,draw_card,1253.0,1.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,1.0,1.0,"89,71",-70.0,1253.0,1253.0,,4266,1.0,stim,poldrack-single-stim,1.0,s574
25,draw_card,1735.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,1.0,1.0,"89,71",14.0,1735.0,1735.0,,8258,,stim,poldrack-single-stim,2.0,s574
26,draw_card,1534.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,2.0,1.0,"89,71",28.0,1534.0,1534.0,,9795,,stim,poldrack-single-stim,2.0,s574
27,draw_card,2718.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,3.0,1.0,"89,71",42.0,2718.0,2718.0,,12515,,stim,poldrack-single-stim,2.0,s574
28,end_round,822.0,0.0,test,columbia_card_task_fmri,14.0,71.0,-75.0,6.0,3.0,1.0,"89,71",42.0,822.0,822.0,,13339,3.0,stim,poldrack-single-stim,2.0,s574
30,draw_card,945.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,1.0,1.0,"89,71",15.0,945.0,945.0,,16679,,stim,poldrack-single-stim,3.0,s574
31,draw_card,728.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,2.0,1.0,"89,71",30.0,728.0,728.0,,17409,,stim,poldrack-single-stim,3.0,s574
32,draw_card,830.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,3.0,1.0,"89,71",45.0,830.0,830.0,,18241,,stim,poldrack-single-stim,3.0,s574
33,draw_card,2640.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,4.0,1.0,"89,71",60.0,2640.0,2640.0,,20882,,stim,poldrack-single-stim,3.0,s574
34,end_round,526.0,0.0,test,columbia_card_task_fmri,15.0,71.0,-70.0,6.0,4.0,1.0,"89,71",60.0,526.0,526.0,,21410,4.0,stim,poldrack-single-stim,3.0,s574
36,draw_card,584.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,1.0,1.0,"89,71",17.0,584.0,584.0,,24589,,stim,poldrack-single-stim,4.0,s574
37,draw_card,652.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,2.0,1.0,"89,71",34.0,652.0,652.0,,25243,,stim,poldrack-single-stim,4.0,s574
38,draw_card,952.0,1.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,3.0,1.0,"89,71",-41.0,952.0,952.0,,26195,3.0,stim,poldrack-single-stim,4.0,s574
40,draw_card,467.0,1.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,1.0,2.0,"89,71",-60.0,467.0,467.0,,29327,1.0,stim,poldrack-single-stim,5.0,s574
42,draw_card,505.0,1.0,test,columbia_card_task_fmri,29.0,89.0,-75.0,8.0,1.0,2.0,"89,71",-75.0,505.0,505.0,,32226,1.0,stim,poldrack-single-stim,6.0,s574
44,draw_card,829.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,9.0,1.0,2.0,"89,71",17.0,829.0,829.0,,35449,,stim,poldrack-single-stim,7.0,s574
45,draw_card,466.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,9.0,2.0,2.0,"89,71",34.0,466.0,466.0,,35917,,stim,poldrack-single-stim,7.0,s574
46,draw_card,659.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,9.0,3.0,2.0,"89,71",51.0,659.0,659.0,,36578,,stim,poldrack-single-stim,7.0,s574
47,draw_card,930.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,9.0,4.0,2.0,"89,71",68.0,930.0,930.0,,37510,,stim,poldrack-single-stim,7.0,s574
48,end_round,1815.0,0.0,test,columbia_card_task_fmri,17.0,71.0,-65.0,9.0,4.0,2.0,"89,71",68.0,1815.0,1815.0,,39327,4.0,stim,poldrack-single-stim,7.0,s574
50,draw_card,659.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-95.0,10.0,1.0,1.0,"89,71",14.0,659.0,659.0,,42245,,stim,poldrack-single-stim,8.0,s574
51,draw_card,447.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-95.0,10.0,2.0,1.0,"89,71",28.0,447.0,447.0,,42693,,stim,poldrack-single-stim,8.0,s574
52,draw_card,399.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-95.0,10.0,3.0,1.0,"89,71",42.0,399.0,399.0,,43093,,stim,poldrack-single-stim,8.0,s574
53,draw_card,527.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-95.0,10.0,4.0,1.0,"89,71",56.0,527.0,527.0,,43621,,stim,poldrack-single-stim,8.0,s574
54,draw_card,410.0,1.0,test,columbia_card_task_fmri,14.0,89.0,-95.0,10.0,5.0,1.0,"89,71",-39.0,410.0,410.0,,44032,5.0,stim,poldrack-single-stim,8.0,s574
56,draw_card,528.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,1.0,2.0,"89,71",15.0,528.0,528.0,,46886,,stim,poldrack-single-stim,9.0,s574
57,draw_card,396.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,2.0,2.0,"89,71",30.0,396.0,396.0,,47284,,stim,poldrack-single-stim,9.0,s574
58,draw_card,772.0,1.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,3.0,2.0,"89,71",-35.0,772.0,772.0,,48059,3.0,stim,poldrack-single-stim,9.0,s574
60,draw_card,362.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,10.0,1.0,2.0,"89,71",17.0,362.0,362.0,,50678,,stim,poldrack-single-stim,10.0,s574
61,draw_card,358.0,1.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,10.0,2.0,2.0,"89,71",-48.0,358.0,358.0,,51037,2.0,stim,poldrack-single-stim,10.0,s574
63,draw_card,360.0,0.0,test,columbia_card_task_fmri,13.0,89.0,-70.0,12.0,1.0,2.0,"89,71",13.0,360.0,360.0,,53653,,stim,poldrack-single-stim,11.0,s574
64,draw_card,1638.0,0.0,test,columbia_card_task_fmri,13.0,89.0,-70.0,12.0,2.0,2.0,"89,71",26.0,1638.0,1638.0,,55293,,stim,poldrack-single-stim,11.0,s574
65,draw_card,759.0,0.0,test,columbia_card_task_fmri,13.0,89.0,-70.0,12.0,3.0,2.0,"89,71",39.0,759.0,759.0,,56054,,stim,poldrack-single-stim,11.0,s574
66,draw_card,479.0,0.0,test,columbia_card_task_fmri,13.0,89.0,-70.0,12.0,4.0,2.0,"89,71",52.0,479.0,479.0,,56534,,stim,poldrack-single-stim,11.0,s574
67,draw_card,478.0,0.0,test,columbia_card_task_fmri,13.0,89.0,-70.0,12.0,5.0,2.0,"89,71",65.0,478.0,478.0,,57013,,stim,poldrack-single-stim,11.0,s574
