action,block_duration,clicked_on_loss_card,exp_stage,experiment_exp_id,gain_amount,key_press,loss_amount,num_cards,num_click_in_round,num_loss_cards,possible_responses,round_points,rt,stim_duration,text,time_elapsed,timing_post_trial,total_cards,trial_id,trial_type,which_round,worker_id
draw_card,2942.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,1.0,1.0,"89,71",12.0,2942.0,2942.0,,5949,0.0,,stim,poldrack-single-stim,1.0,s497
draw_card,2607.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,2.0,1.0,"89,71",24.0,2607.0,2607.0,,8559,0.0,,stim,poldrack-single-stim,1.0,s497
end_round,2800.0,0.0,test,columbia_card_task_fmri,12.0,71.0,-70.0,6.0,2.0,1.0,"89,71",24.0,2800.0,2800.0,,11360,0.0,2.0,stim,poldrack-single-stim,1.0,s497
draw_card,3029.0,1.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,1.0,1.0,"89,71",-75.0,3029.0,3029.0,,16849,0.0,1.0,stim,poldrack-single-stim,2.0,s497
draw_card,1197.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,1.0,1.0,"89,71",15.0,1197.0,1197.0,,20504,0.0,,stim,poldrack-single-stim,3.0,s497
draw_card,567.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,2.0,1.0,"89,71",30.0,567.0,567.0,,21073,0.0,,stim,poldrack-single-stim,3.0,s497
draw_card,911.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,3.0,1.0,"89,71",45.0,911.0,911.0,,21986,0.0,,stim,poldrack-single-stim,3.0,s497
end_round,881.0,0.0,test,columbia_card_task_fmri,15.0,71.0,-70.0,6.0,3.0,1.0,"89,71",45.0,881.0,881.0,,22870,0.0,3.0,stim,poldrack-single-stim,3.0,s497
draw_card,1764.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,1.0,1.0,"89,71",17.0,1764.0,1764.0,,27160,0.0,,stim,poldrack-single-stim,4.0,s497
draw_card,2778.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,2.0,1.0,"89,71",34.0,2778.0,2778.0,,29939,0.0,,stim,poldrack-single-stim,4.0,s497
end_round,1252.0,0.0,test,columbia_card_task_fmri,17.0,71.0,-75.0,6.0,2.0,1.0,"89,71",34.0,1252.0,1252.0,,31192,0.0,2.0,stim,poldrack-single-stim,4.0,s497
