,SS_delay,SS_duration,SS_stimulus,SS_trial_type,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,passed_check,possible_responses,rt,stop_response,stopped,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
5,,,,,,1.0,71.0,practice,motor_selective_stop_signal,71.0,True,"71,89",834,,False,,-71917,stim,0.0,poldrack-categorize,s524
6,,,,,,1.0,89.0,practice,motor_selective_stop_signal,89.0,True,"71,89",669,,False,,-69311,stim,1.0,poldrack-categorize,s524
7,,,,,,1.0,71.0,practice,motor_selective_stop_signal,71.0,True,"71,89",580,,False,,-66707,stim,2.0,poldrack-categorize,s524
8,,,,,,1.0,71.0,practice,motor_selective_stop_signal,71.0,True,"71,89",543,,False,,-64102,stim,3.0,poldrack-categorize,s524
9,,,,,,1.0,89.0,practice,motor_selective_stop_signal,89.0,True,"71,89",680,,False,,-61496,stim,4.0,poldrack-categorize,s524
10,,,,,,1.0,71.0,practice,motor_selective_stop_signal,71.0,True,"71,89",554,,False,,-58893,stim,5.0,poldrack-categorize,s524
11,,,,,,1.0,89.0,practice,motor_selective_stop_signal,89.0,True,"71,89",721,,False,,-56287,stim,6.0,poldrack-categorize,s524
12,,,,,,1.0,71.0,practice,motor_selective_stop_signal,71.0,True,"71,89",541,,False,,-53681,stim,7.0,poldrack-categorize,s524
13,,,,,,1.0,89.0,practice,motor_selective_stop_signal,89.0,True,"71,89",579,,False,,-51074,stim,8.0,poldrack-categorize,s524
14,,,,,,1.0,71.0,practice,motor_selective_stop_signal,71.0,True,"71,89",452,,False,,-48469,stim,9.0,poldrack-categorize,s524
15,,,,,,1.0,89.0,practice,motor_selective_stop_signal,89.0,True,"71,89",517,,False,,-45863,stim,10.0,poldrack-categorize,s524
16,,,,,,1.0,89.0,practice,motor_selective_stop_signal,89.0,True,"71,89",1006,,False,,-43258,stim,11.0,poldrack-categorize,s524
36,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"71,89",587,71.0,False,,5259,stim,0.0,stop-signal,s524
37,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"71,89",512,71.0,False,,7512,stim,1.0,stop-signal,s524
38,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"71,89",538,71.0,False,,10365,stim,2.0,stop-signal,s524
39,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"71,89",434,71.0,False,,12719,stim,3.0,stop-signal,s524
