,action,block_duration,clicked_on_loss_card,exp_stage,experiment_exp_id,gain_amount,key_press,loss_amount,num_cards,num_click_in_round,num_loss_cards,possible_responses,round_points,rt,stim_duration,text,time_elapsed,total_cards,trial_id,trial_type,which_round,worker_id
23,draw_card,4884.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,1.0,1.0,"89,71",12.0,4884.0,4884.0,,7896,,stim,poldrack-single-stim,1.0,s373
24,draw_card,2413.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,2.0,1.0,"89,71",24.0,2413.0,2413.0,,10311,,stim,poldrack-single-stim,1.0,s373
25,end_round,1983.0,0.0,test,columbia_card_task_fmri,12.0,71.0,-70.0,6.0,2.0,1.0,"89,71",24.0,1983.0,1983.0,,12296,2.0,stim,poldrack-single-stim,1.0,s373
27,draw_card,3635.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,1.0,1.0,"89,71",14.0,3635.0,3635.0,,18393,,stim,poldrack-single-stim,2.0,s373
28,draw_card,2471.0,1.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,2.0,1.0,"89,71",-61.0,2471.0,2471.0,,20865,2.0,stim,poldrack-single-stim,2.0,s373
30,draw_card,4421.0,1.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,1.0,1.0,"89,71",-70.0,4421.0,4421.0,,27748,1.0,stim,poldrack-single-stim,3.0,s373
32,draw_card,2786.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,1.0,1.0,"89,71",17.0,2786.0,2786.0,,33063,,stim,poldrack-single-stim,4.0,s373
33,end_round,1373.0,0.0,test,columbia_card_task_fmri,17.0,71.0,-75.0,6.0,1.0,1.0,"89,71",17.0,1373.0,1373.0,,34438,1.0,stim,poldrack-single-stim,4.0,s373
35,draw_card,2453.0,0.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,1.0,2.0,"89,71",24.0,2453.0,2453.0,,39285,,stim,poldrack-single-stim,5.0,s373
36,draw_card,4176.0,0.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,2.0,2.0,"89,71",48.0,4176.0,4176.0,,43462,,stim,poldrack-single-stim,5.0,s373
37,end_round,1638.0,0.0,test,columbia_card_task_fmri,24.0,71.0,-60.0,8.0,2.0,2.0,"89,71",48.0,1638.0,1638.0,,45106,2.0,stim,poldrack-single-stim,5.0,s373
39,draw_card,2184.0,0.0,test,columbia_card_task_fmri,29.0,89.0,-75.0,8.0,1.0,2.0,"89,71",29.0,2184.0,2184.0,,49751,,stim,poldrack-single-stim,6.0,s373
40,end_round,3295.0,0.0,test,columbia_card_task_fmri,29.0,71.0,-75.0,8.0,1.0,2.0,"89,71",29.0,3295.0,3295.0,,53047,1.0,stim,poldrack-single-stim,6.0,s373
42,draw_card,2271.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,9.0,1.0,2.0,"89,71",17.0,2271.0,2271.0,,57845,,stim,poldrack-single-stim,7.0,s373
43,draw_card,1846.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,9.0,2.0,2.0,"89,71",34.0,1846.0,1846.0,,59692,,stim,poldrack-single-stim,7.0,s373
44,end_round,1041.0,0.0,test,columbia_card_task_fmri,17.0,71.0,-65.0,9.0,2.0,2.0,"89,71",34.0,1041.0,1041.0,,60734,2.0,stim,poldrack-single-stim,7.0,s373
46,end_round,3689.0,0.0,test,columbia_card_task_fmri,14.0,71.0,-95.0,10.0,0.0,1.0,"89,71",0.0,3689.0,3689.0,,66950,0.0,stim,poldrack-single-stim,8.0,s373
48,draw_card,2650.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,1.0,2.0,"89,71",15.0,2650.0,2650.0,,72198,,stim,poldrack-single-stim,9.0,s373
49,draw_card,1890.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,2.0,2.0,"89,71",30.0,1890.0,1890.0,,74089,,stim,poldrack-single-stim,9.0,s373
50,end_round,2412.0,0.0,test,columbia_card_task_fmri,15.0,71.0,-65.0,10.0,2.0,2.0,"89,71",30.0,2412.0,2412.0,,76503,2.0,stim,poldrack-single-stim,9.0,s373
52,draw_card,1894.0,1.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,10.0,1.0,2.0,"89,71",-65.0,1894.0,1894.0,,80858,1.0,stim,poldrack-single-stim,10.0,s373
54,draw_card,3250.0,0.0,test,columbia_card_task_fmri,13.0,89.0,-70.0,12.0,1.0,2.0,"89,71",13.0,3250.0,3250.0,,86430,,stim,poldrack-single-stim,11.0,s373
55,end_round,780.0,0.0,test,columbia_card_task_fmri,13.0,71.0,-70.0,12.0,1.0,2.0,"89,71",13.0,780.0,780.0,,87211,1.0,stim,poldrack-single-stim,11.0,s373
57,draw_card,2190.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-80.0,12.0,1.0,2.0,"89,71",15.0,2190.0,2190.0,,91659,,stim,poldrack-single-stim,12.0,s373
58,end_round,1029.0,0.0,test,columbia_card_task_fmri,15.0,71.0,-80.0,12.0,1.0,2.0,"89,71",15.0,1029.0,1029.0,,92689,1.0,stim,poldrack-single-stim,12.0,s373
60,draw_card,1866.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-65.0,15.0,1.0,3.0,"89,71",14.0,1866.0,1866.0,,97219,,stim,poldrack-single-stim,13.0,s373
61,draw_card,3164.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-65.0,15.0,2.0,3.0,"89,71",28.0,3164.0,3164.0,,100384,,stim,poldrack-single-stim,13.0,s373
62,end_round,999.0,0.0,test,columbia_card_task_fmri,14.0,71.0,-65.0,15.0,2.0,3.0,"89,71",28.0,999.0,999.0,,101386,2.0,stim,poldrack-single-stim,13.0,s373
64,draw_card,4528.0,0.0,test,columbia_card_task_fmri,1.0,89.0,-45.0,16.0,1.0,1.0,"89,71",1.0,4528.0,4528.0,,108376,,stim,poldrack-single-stim,14.0,s373
