,action,block_duration,clicked_on_loss_card,exp_stage,experiment_exp_id,gain_amount,key_press,loss_amount,num_cards,num_click_in_round,num_loss_cards,possible_responses,round_points,rt,stim_duration,text,time_elapsed,total_cards,trial_id,trial_type,which_round,worker_id
23,draw_card,1479.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,1.0,1.0,"89,71",12.0,1479.0,1479.0,,4490,,stim,poldrack-single-stim,1.0,s573
24,draw_card,2821.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,2.0,1.0,"89,71",24.0,2821.0,2821.0,,7314,,stim,poldrack-single-stim,1.0,s573
25,end_round,3413.0,0.0,test,columbia_card_task_fmri,12.0,71.0,-70.0,6.0,2.0,1.0,"89,71",24.0,3413.0,3413.0,,10729,2.0,stim,poldrack-single-stim,1.0,s573
27,draw_card,1628.0,1.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,1.0,1.0,"89,71",-75.0,1628.0,1628.0,,14682,1.0,stim,poldrack-single-stim,2.0,s573
29,draw_card,2284.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,1.0,1.0,"89,71",15.0,2284.0,2284.0,,19287,,stim,poldrack-single-stim,3.0,s573
30,draw_card,1985.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,2.0,1.0,"89,71",30.0,1985.0,1985.0,,21273,,stim,poldrack-single-stim,3.0,s573
31,draw_card,2328.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,3.0,1.0,"89,71",45.0,2328.0,2328.0,,23602,,stim,poldrack-single-stim,3.0,s573
32,end_round,1545.0,0.0,test,columbia_card_task_fmri,15.0,71.0,-70.0,6.0,3.0,1.0,"89,71",45.0,1545.0,1545.0,,25149,3.0,stim,poldrack-single-stim,3.0,s573
34,draw_card,1092.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,1.0,1.0,"89,71",17.0,1092.0,1092.0,,29107,,stim,poldrack-single-stim,4.0,s573
35,draw_card,3201.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,2.0,1.0,"89,71",34.0,3201.0,3201.0,,32309,,stim,poldrack-single-stim,4.0,s573
36,end_round,4085.0,0.0,test,columbia_card_task_fmri,17.0,71.0,-75.0,6.0,2.0,1.0,"89,71",34.0,4085.0,4085.0,,36395,2.0,stim,poldrack-single-stim,4.0,s573
