,action,clicked_on_loss_card,exp_stage,experiment_exp_id,gain_amount,key_press,loss_amount,num_cards,num_click_in_round,num_loss_cards,possible_responses,round_points,rt,text,time_elapsed,total_cards,trial_id,trial_type,which_round,worker_id
23,draw_card,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,1.0,1.0,"89,71",12.0,572.0,,3580,,stim,poldrack-single-stim,1.0,s172
24,draw_card,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,2.0,1.0,"89,71",24.0,917.0,,4500,,stim,poldrack-single-stim,1.0,s172
25,end_round,0.0,test,columbia_card_task_fmri,12.0,71.0,-70.0,6.0,2.0,1.0,"89,71",24.0,739.0,,5241,2.0,stim,poldrack-single-stim,1.0,s172
27,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,1.0,1.0,"89,71",14.0,431.0,,7927,,stim,poldrack-single-stim,2.0,s172
28,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,2.0,1.0,"89,71",28.0,539.0,,8468,,stim,poldrack-single-stim,2.0,s172
29,end_round,0.0,test,columbia_card_task_fmri,14.0,71.0,-75.0,6.0,2.0,1.0,"89,71",28.0,1451.0,,9921,2.0,stim,poldrack-single-stim,2.0,s172
31,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,1.0,1.0,"89,71",15.0,444.0,,12756,,stim,poldrack-single-stim,3.0,s172
32,draw_card,1.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,2.0,1.0,"89,71",-55.0,763.0,,13521,2.0,stim,poldrack-single-stim,3.0,s172
34,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,1.0,1.0,"89,71",17.0,434.0,,16547,,stim,poldrack-single-stim,4.0,s172
35,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,2.0,1.0,"89,71",34.0,517.0,,17066,,stim,poldrack-single-stim,4.0,s172
36,end_round,0.0,test,columbia_card_task_fmri,17.0,71.0,-75.0,6.0,2.0,1.0,"89,71",34.0,475.0,,17541,2.0,stim,poldrack-single-stim,4.0,s172
38,draw_card,1.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,1.0,2.0,"89,71",-60.0,674.0,,20877,1.0,stim,poldrack-single-stim,5.0,s172
40,draw_card,0.0,test,columbia_card_task_fmri,29.0,89.0,-75.0,8.0,1.0,2.0,"89,71",29.0,653.0,,23920,,stim,poldrack-single-stim,6.0,s172
41,draw_card,1.0,test,columbia_card_task_fmri,29.0,89.0,-75.0,8.0,2.0,2.0,"89,71",-46.0,427.0,,24348,2.0,stim,poldrack-single-stim,6.0,s172
43,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,9.0,1.0,2.0,"89,71",17.0,386.0,,27123,,stim,poldrack-single-stim,7.0,s172
44,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,9.0,2.0,2.0,"89,71",34.0,673.0,,27798,,stim,poldrack-single-stim,7.0,s172
45,end_round,0.0,test,columbia_card_task_fmri,17.0,71.0,-65.0,9.0,2.0,2.0,"89,71",34.0,728.0,,28527,2.0,stim,poldrack-single-stim,7.0,s172
47,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-95.0,10.0,1.0,1.0,"89,71",14.0,502.0,,31283,,stim,poldrack-single-stim,8.0,s172
48,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-95.0,10.0,2.0,1.0,"89,71",28.0,463.0,,31749,,stim,poldrack-single-stim,8.0,s172
49,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-95.0,10.0,3.0,1.0,"89,71",42.0,738.0,,32489,,stim,poldrack-single-stim,8.0,s172
50,end_round,0.0,test,columbia_card_task_fmri,14.0,71.0,-95.0,10.0,3.0,1.0,"89,71",42.0,601.0,,33091,3.0,stim,poldrack-single-stim,8.0,s172
52,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,1.0,2.0,"89,71",15.0,444.0,,35857,,stim,poldrack-single-stim,9.0,s172
53,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,2.0,2.0,"89,71",30.0,710.0,,36569,,stim,poldrack-single-stim,9.0,s172
54,end_round,0.0,test,columbia_card_task_fmri,15.0,71.0,-65.0,10.0,2.0,2.0,"89,71",30.0,1179.0,,37750,2.0,stim,poldrack-single-stim,9.0,s172
56,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,10.0,1.0,2.0,"89,71",17.0,425.0,,40430,,stim,poldrack-single-stim,10.0,s172
57,draw_card,1.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,10.0,2.0,2.0,"89,71",-48.0,522.0,,40954,2.0,stim,poldrack-single-stim,10.0,s172
59,draw_card,0.0,test,columbia_card_task_fmri,13.0,89.0,-70.0,12.0,1.0,2.0,"89,71",13.0,796.0,,44004,,stim,poldrack-single-stim,11.0,s172
60,draw_card,1.0,test,columbia_card_task_fmri,13.0,89.0,-70.0,12.0,2.0,2.0,"89,71",-57.0,850.0,,44856,2.0,stim,poldrack-single-stim,11.0,s172
