action,block_duration,clicked_on_loss_card,exp_stage,experiment_exp_id,gain_amount,key_press,loss_amount,num_cards,num_click_in_round,num_loss_cards,possible_responses,round_points,rt,stim_duration,text,time_elapsed,timing_post_trial,total_cards,trial_id,trial_type,which_round,worker_id
draw_card,3190.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,1.0,1.0,"89,71",12.0,3190.0,3190.0,,6197,0.0,,stim,poldrack-single-stim,1.0,s524
end_round,1170.0,0.0,test,columbia_card_task_fmri,12.0,71.0,-70.0,6.0,1.0,1.0,"89,71",12.0,1170.0,1170.0,,7369,0.0,1.0,stim,poldrack-single-stim,1.0,s524
draw_card,2379.0,1.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,1.0,1.0,"89,71",-75.0,2379.0,2379.0,,12072,0.0,1.0,stim,poldrack-single-stim,2.0,s524
draw_card,1641.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,1.0,1.0,"89,71",15.0,1641.0,1641.0,,16035,0.0,,stim,poldrack-single-stim,3.0,s524
draw_card,458.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,2.0,1.0,"89,71",30.0,458.0,458.0,,16495,0.0,,stim,poldrack-single-stim,3.0,s524
end_round,455.0,0.0,test,columbia_card_task_fmri,15.0,71.0,-70.0,6.0,2.0,1.0,"89,71",30.0,455.0,455.0,,16952,0.0,2.0,stim,poldrack-single-stim,3.0,s524
draw_card,1146.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,1.0,1.0,"89,71",17.0,1146.0,1146.0,,20964,0.0,,stim,poldrack-single-stim,4.0,s524
draw_card,1727.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,2.0,1.0,"89,71",34.0,1727.0,1727.0,,22692,0.0,,stim,poldrack-single-stim,4.0,s524
end_round,536.0,0.0,test,columbia_card_task_fmri,17.0,71.0,-75.0,6.0,2.0,1.0,"89,71",34.0,536.0,536.0,,23229,0.0,2.0,stim,poldrack-single-stim,4.0,s524
draw_card,1831.0,0.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,1.0,2.0,"89,71",24.0,1831.0,1831.0,,27790,0.0,,stim,poldrack-single-stim,5.0,s524
