action,block_duration,clicked_on_loss_card,exp_stage,experiment_exp_id,gain_amount,key_press,loss_amount,num_cards,num_click_in_round,num_loss_cards,possible_responses,round_points,rt,stim_duration,text,time_elapsed,timing_post_trial,total_cards,trial_id,trial_type,which_round,worker_id
draw_card,1466.0,1.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,1.0,1.0,"89,71",-70.0,1466.0,1466.0,,4474,0.0,1.0,stim,poldrack-single-stim,1.0,s525
draw_card,1454.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,1.0,1.0,"89,71",14.0,1454.0,1454.0,,8252,0.0,,stim,poldrack-single-stim,2.0,s525
draw_card,1879.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,2.0,1.0,"89,71",28.0,1879.0,1879.0,,10132,0.0,,stim,poldrack-single-stim,2.0,s525
end_round,1924.0,0.0,test,columbia_card_task_fmri,14.0,71.0,-75.0,6.0,2.0,1.0,"89,71",28.0,1924.0,1924.0,,12058,0.0,2.0,stim,poldrack-single-stim,2.0,s525
draw_card,2095.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,1.0,1.0,"89,71",15.0,2095.0,2095.0,,16474,0.0,,stim,poldrack-single-stim,3.0,s525
draw_card,1936.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,2.0,1.0,"89,71",30.0,1936.0,1936.0,,18411,0.0,,stim,poldrack-single-stim,3.0,s525
draw_card,2148.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,3.0,1.0,"89,71",45.0,2148.0,2148.0,,20561,0.0,,stim,poldrack-single-stim,3.0,s525
end_round,801.0,0.0,test,columbia_card_task_fmri,15.0,71.0,-70.0,6.0,3.0,1.0,"89,71",45.0,801.0,801.0,,21363,0.0,3.0,stim,poldrack-single-stim,3.0,s525
draw_card,1452.0,1.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,1.0,1.0,"89,71",-75.0,1452.0,1452.0,,25683,0.0,1.0,stim,poldrack-single-stim,4.0,s525
draw_card,1980.0,0.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,1.0,2.0,"89,71",24.0,1980.0,1980.0,,30393,0.0,,stim,poldrack-single-stim,5.0,s525
