,action,block_duration,clicked_on_loss_card,exp_stage,experiment_exp_id,gain_amount,key_press,loss_amount,num_cards,num_click_in_round,num_loss_cards,possible_responses,round_points,rt,stim_duration,text,time_elapsed,total_cards,trial_id,trial_type,which_round,worker_id
23,draw_card,2563.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,1.0,1.0,"89,71",12.0,2563.0,2563.0,,5575,,stim,poldrack-single-stim,1.0,s572
24,draw_card,1707.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,2.0,1.0,"89,71",24.0,1707.0,1707.0,,7285,,stim,poldrack-single-stim,1.0,s572
25,draw_card,1926.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,3.0,1.0,"89,71",36.0,1926.0,1926.0,,9212,,stim,poldrack-single-stim,1.0,s572
26,draw_card,2620.0,1.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,4.0,1.0,"89,71",-34.0,2620.0,2620.0,,11835,4.0,stim,poldrack-single-stim,1.0,s572
28,draw_card,1886.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,1.0,1.0,"89,71",14.0,1886.0,1886.0,,16180,,stim,poldrack-single-stim,2.0,s572
29,draw_card,1557.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,2.0,1.0,"89,71",28.0,1557.0,1557.0,,17739,,stim,poldrack-single-stim,2.0,s572
30,draw_card,2082.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,3.0,1.0,"89,71",42.0,2082.0,2082.0,,19822,,stim,poldrack-single-stim,2.0,s572
31,end_round,964.0,0.0,test,columbia_card_task_fmri,14.0,71.0,-75.0,6.0,3.0,1.0,"89,71",42.0,964.0,964.0,,20788,3.0,stim,poldrack-single-stim,2.0,s572
33,draw_card,1854.0,1.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,1.0,1.0,"89,71",-70.0,1854.0,1854.0,,25101,1.0,stim,poldrack-single-stim,3.0,s572
35,draw_card,1554.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,1.0,1.0,"89,71",17.0,1554.0,1554.0,,29181,,stim,poldrack-single-stim,4.0,s572
36,draw_card,1739.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,2.0,1.0,"89,71",34.0,1739.0,1739.0,,30921,,stim,poldrack-single-stim,4.0,s572
37,draw_card,1554.0,1.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,3.0,1.0,"89,71",-41.0,1554.0,1554.0,,32478,3.0,stim,poldrack-single-stim,4.0,s572
39,draw_card,2162.0,0.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,1.0,2.0,"89,71",24.0,2162.0,2162.0,,37101,,stim,poldrack-single-stim,5.0,s572
40,draw_card,1969.0,0.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,2.0,2.0,"89,71",48.0,1969.0,1969.0,,39072,,stim,poldrack-single-stim,5.0,s572
41,draw_card,1658.0,1.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,3.0,2.0,"89,71",-12.0,1658.0,1658.0,,40730,3.0,stim,poldrack-single-stim,5.0,s572
43,draw_card,1514.0,0.0,test,columbia_card_task_fmri,29.0,89.0,-75.0,8.0,1.0,2.0,"89,71",29.0,1514.0,1514.0,,44908,,stim,poldrack-single-stim,6.0,s572
44,draw_card,1423.0,0.0,test,columbia_card_task_fmri,29.0,89.0,-75.0,8.0,2.0,2.0,"89,71",58.0,1423.0,1423.0,,46331,,stim,poldrack-single-stim,6.0,s572
45,draw_card,1642.0,0.0,test,columbia_card_task_fmri,29.0,89.0,-75.0,8.0,3.0,2.0,"89,71",87.0,1642.0,1642.0,,47975,,stim,poldrack-single-stim,6.0,s572
