"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","exp_stage","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration","condition","stop_response","exp_id"
"2532","13","text","0","2535","0.0-0.0","s465","","","","","","","","","","","","","","","","","","","",""
"934","89","poldrack-text","1","4471","0.0-1.0","s465","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","934","500","fmri_response_test","","","","","","","","","","","","","","","",""
"449","71","poldrack-text","2","5423","0.0-2.0","s465","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","449","500","fmri_response_test","","","","","","","","","","","","","","","",""
"11532","","survey-text","3","17461","0.0-3.0","s465","","","","task_setup","{""Q0"":""50""}","","","","","","","","","","","","","","",""
"32090","32","poldrack-single-stim","4","50575","0.0-4.0","s465","","32090","0","instructions","","<div class = instructbox><p class = instruct-text>Only one key is correct for each shape. The correct keys are as follows:<ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img>index finger</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img>index finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img>middle finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img>middle finger</div></li></ul></p><p class = instruct-text><strong>Do not respond if you see the red star if your response was going to be your index finger!</strong></p><p class = instruct-text>We will start with practice</p></div>","32","32090","","","","","","","","","","","",""
"1121","89","poldrack-categorize","5","52928","0.0-5.0-0.0-0.0","s465","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img></div>","89,71","850","true","89","500","practice","0","","","","","","",""
"495","89","poldrack-categorize","6","55534","0.0-5.0-0.0-1.0","s465","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img></div>","89,71","850","true","89","500","practice","1","","","","","","",""
"592","89","poldrack-categorize","7","58139","0.0-5.0-0.0-2.0","s465","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img></div>","89,71","850","true","89","500","practice","2","","","","","","",""
"417","89","poldrack-categorize","8","60742","0.0-5.0-0.0-3.0","s465","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img></div>","89,71","850","true","89","500","practice","3","","","","","","",""
"422","71","poldrack-categorize","9","63346","0.0-5.0-0.0-4.0","s465","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img></div>","89,71","850","true","71","500","practice","4","","","","","","",""
"569","71","poldrack-categorize","10","65950","0.0-5.0-0.0-5.0","s465","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img></div>","89,71","850","true","71","500","practice","5","","","","","","",""
"526","71","poldrack-categorize","11","68555","0.0-5.0-0.0-6.0","s465","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img></div>","89,71","850","true","71","500","practice","6","","","","","","",""
"443","89","poldrack-categorize","12","71158","0.0-5.0-0.0-7.0","s465","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img></div>","89,71","850","false","71","500","practice","7","","","","","","",""
"468","71","poldrack-categorize","13","73762","0.0-5.0-0.0-8.0","s465","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img></div>","89,71","850","true","71","500","practice","8","","","","","","",""
"544","71","poldrack-categorize","14","76368","0.0-5.0-0.0-9.0","s465","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img></div>","89,71","850","true","71","500","practice","9","","","","","","",""
"524","89","poldrack-categorize","15","78974","0.0-5.0-0.0-10.0","s465","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img></div>","89,71","850","true","89","500","practice","10","","","","","","",""
"492","89","poldrack-categorize","16","81580","0.0-5.0-0.0-11.0","s465","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img></div>","89,71","850","true","89","500","practice","11","","","","","","",""
"28733","32","poldrack-text","17","110564","0.0-6.0","s465","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","28733","0","fmri_scanner_wait","","","","","","","","","","","","","","","",""
"3425","84","poldrack-text","18","113990","0.0-7.0","s465","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","3425","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"679","84","poldrack-text","19","114670","0.0-8.0","s465","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"680","84","poldrack-text","20","115350","0.0-9.0","s465","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"679","84","poldrack-text","21","116029","0.0-10.0","s465","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"680","84","poldrack-text","22","116710","0.0-11.0","s465","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"679","84","poldrack-text","23","117390","0.0-12.0","s465","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"679","84","poldrack-text","24","118070","0.0-13.0","s465","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"679","84","poldrack-text","25","118750","0.0-14.0","s465","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"680","84","poldrack-text","26","119430","0.0-15.0","s465","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
"679","84","poldrack-text","27","120110","0.0-16.0","s465","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
