"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","condition","exp_stage","trial_num","correct_response","correct","exp_id"
"5118","13","text","0","5121","0.0-0.0","s524","","","","","","","","","","","","","",""
"1343","89","poldrack-text","1","7468","0.0-1.0","s524","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1343","500","fmri_response_test","","","","","","","","","",""
"530","71","poldrack-text","2","8500","0.0-2.0","s524","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","530","500","fmri_response_test","","","","","","","","","",""
"9084","","survey-text","3","18093","0.0-3.0","s524","","","","task_setup","{""Q0"":""4"",""Q1"":""6""}","","","","","","","","",""
"10057","32","poldrack-single-stim","4","29154","0.0-4.0","s524","","10057","500","instructions","","<div class = centerbox><p style = ""font-size:40px"" class = center-block-text>Target Pair (press index finger):</p><p class = center-block-text><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png"" ></img>&nbsp&nbsp&nbsp...followed by...&nbsp&nbsp&nbsp<img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png"" ></img><br></br></p><p style = ""font-size:40px"" class = center-block-text>Otherwise press middle finger</div>","32","10057","","","","","",""
"-1","-1","poldrack-single-stim","5","30157","0.0-5.0-0.0","s524","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>","none","500","AX","practice","0","","",""
"-1","-1","poldrack-single-stim","6","32160","0.0-5.0-1.0","s524","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"552","89","poldrack-single-stim","7","33662","0.0-5.0-2.0","s524","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png""</img></div></div>","89,71","500","AX","practice","0","89","true",""
"-1","-1","poldrack-single-stim","8","34167","0.0-5.0-3.0","s524","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","1","","",""
"-1","-1","poldrack-single-stim","9","34668","0.0-5.0-4.0","s524","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>","none","500","AX","practice","1","","",""
"-1","-1","poldrack-single-stim","10","36671","0.0-5.0-5.0","s524","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"549","89","poldrack-single-stim","11","38173","0.0-5.0-6.0","s524","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png""</img></div></div>","89,71","500","AX","practice","1","89","true",""
"-1","-1","poldrack-single-stim","12","38677","0.0-5.0-7.0","s524","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","2","","",""
"-1","-1","poldrack-single-stim","13","39178","0.0-5.0-8.0","s524","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>","none","500","AX","practice","2","","",""
