"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","condition","exp_stage","trial_num","correct_response","correct","exp_id"
"4311","13","text","0","4313","0.0-0.0","s628","","","","","","","","","","","","","",""
"1004","89","poldrack-text","1","6323","0.0-1.0","s628","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1004","500","fmri_response_test","","","","","","","","","",""
"702","71","poldrack-text","2","7529","0.0-2.0","s628","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","702","500","fmri_response_test","","","","","","","","","",""
"19217","","survey-text","3","27252","0.0-3.0","s628","","","","task_setup","{""Q0"":""5"",""Q1"":""2""}","","","","","","","","",""
"34753","32","poldrack-single-stim","4","63010","0.0-4.0","s628","","34753","500","instructions","","<div class = centerbox><p style = ""font-size:40px"" class = center-block-text>Target Pair (press index finger):</p><p class = center-block-text><img src = ""/static/experiments/dot_pattern_expectancy/images/cue5.png"" ></img>&nbsp&nbsp&nbsp...followed by...&nbsp&nbsp&nbsp<img src = ""/static/experiments/dot_pattern_expectancy/images/probe2.png"" ></img><br></br></p><p style = ""font-size:40px"" class = center-block-text>Otherwise press middle finger</div>","32","34753","","","","","",""
"-1","-1","poldrack-single-stim","5","64017","0.0-5.0-0.0","s628","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue5.png""</img></div></div>","none","500","AY","practice","0","","",""
"-1","-1","poldrack-single-stim","6","66023","0.0-5.0-1.0","s628","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"1010","71","poldrack-single-stim","7","67527","0.0-5.0-2.0","s628","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71","500","AY","practice","0","71","true",""
"-1","-1","poldrack-single-stim","8","68032","0.0-5.0-3.0","s628","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","1","","",""
"-1","-1","poldrack-single-stim","9","68537","0.0-5.0-4.0","s628","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue1.png""</img></div></div>","none","500","BX","practice","1","","",""
"-1","-1","poldrack-single-stim","10","70539","0.0-5.0-5.0","s628","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
