"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","exp_stage","cue","stim_color","stim_number","task","task_switch","cue_switch","trial_num","correct","correct_response","feedback_duration","exp_id"
"4269","13","text","0","4273","0.0-0.0","s614","","","","","","","","","","","","","","","","","","","",""
"2598","89","poldrack-text","1","7874","0.0-1.0","s614","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","2598","500","fmri_response_test","","","","","","","","","","","","","","","",""
"691","71","poldrack-text","2","9070","0.0-2.0","s614","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","691","500","fmri_response_test","","","","","","","","","","","","","","","",""
"19943","","survey-text","3","29523","0.0-3.0","s614","","","","task_setup","{""Q0"":""2"",""Q1"":""2""}","","","","","","","","","","","","","","",""
"32327","32","poldrack-single-stim","4","62856","0.0-4.0","s614","","32327","0","instructions","","<div class = centerbox><div class = center-text style=""font-size:40px""><strong>Color</strong> or <strong>Orange-Blue</strong>: Middle Finger if orange and Index Finger if blue.<br><br><strong>Magnitude</strong> or <strong>High-Low</strong>: Middle Finger if >5 and Index Finger if <5.</div></div>","32","32327","","","","","","","","","","","",""
"","","call-function","5","62857","0.0-5.0-0.0","s614","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","6","63363","0.0-5.0-1.0","s614","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","7","63468","0.0-5.0-2.0","s614","","100","0","cue","","<div class = upperbox><div class = ""center-text"" >Magnitude</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","100","practice","Magnitude","#1F45FC","8","magnitude","switch","stay","0","","","",""
"1274","71","poldrack-categorize","8","65976","0.0-5.0-3.0","s614","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Magnitude</div></div><div class = lowerbox><div class = ""stim-text"" style=color:#1F45FC;>8</div>","89,71","1000","practice","Magnitude","#1F45FC","8","magnitude","switch","stay","0","true","71","500",""
"-1","-1","poldrack-single-stim","9","66483","0.0-5.0-4.0","s614","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","10","66484","0.0-5.0-5.0","s614","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","11","66990","0.0-5.0-6.0","s614","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","12","67891","0.0-5.0-7.0","s614","","900","0","cue","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","900","practice","Color","#1F45FC","1","color","switch","switch","1","","","",""
"647","89","poldrack-categorize","13","70398","0.0-5.0-8.0","s614","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = ""stim-text"" style=color:#1F45FC;>1</div>","89,71","1000","practice","Color","#1F45FC","1","color","switch","switch","1","true","89","500",""
"-1","-1","poldrack-single-stim","14","70900","0.0-5.0-9.0","s614","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","15","70900","0.0-5.0-10.0","s614","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","16","71404","0.0-5.0-11.0","s614","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","17","71507","0.0-5.0-12.0","s614","","100","0","cue","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","100","practice","Orange-Blue","orange","3","color","stay","switch","2","","","",""
"893","71","poldrack-categorize","18","74009","0.0-5.0-13.0","s614","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = ""stim-text"" style=color:orange;>3</div>","89,71","1000","practice","Orange-Blue","orange","3","color","stay","switch","2","true","71","500",""
"-1","-1","poldrack-single-stim","19","74512","0.0-5.0-14.0","s614","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","20","74513","0.0-5.0-15.0","s614","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","21","75015","0.0-5.0-16.0","s614","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","22","75117","0.0-5.0-17.0","s614","","100","0","cue","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","100","practice","Color","orange","6","color","stay","switch","3","","","",""
"721","71","poldrack-categorize","23","77624","0.0-5.0-18.0","s614","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = ""stim-text"" style=color:orange;>6</div>","89,71","1000","practice","Color","orange","6","color","stay","switch","3","true","71","500",""
"-1","-1","poldrack-single-stim","24","78128","0.0-5.0-19.0","s614","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","25","78128","0.0-5.0-20.0","s614","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","26","78630","0.0-5.0-21.0","s614","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","27","79534","0.0-5.0-22.0","s614","","900","0","cue","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","900","practice","Color","#1F45FC","3","color","stay","stay","4","","","",""
"567","89","poldrack-categorize","28","82041","0.0-5.0-23.0","s614","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = ""stim-text"" style=color:#1F45FC;>3</div>","89,71","1000","practice","Color","#1F45FC","3","color","stay","stay","4","true","89","500",""
"-1","-1","poldrack-single-stim","29","82544","0.0-5.0-24.0","s614","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","30","82544","0.0-5.0-25.0","s614","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","31","83048","0.0-5.0-26.0","s614","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","32","83151","0.0-5.0-27.0","s614","","100","0","cue","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","100","practice","Color","#1F45FC","7","color","stay","stay","5","","","",""
"885","89","poldrack-categorize","33","85657","0.0-5.0-28.0","s614","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Color</div></div><div class = lowerbox><div class = ""stim-text"" style=color:#1F45FC;>7</div>","89,71","1000","practice","Color","#1F45FC","7","color","stay","stay","5","true","89","500",""
"-1","-1","poldrack-single-stim","34","86163","0.0-5.0-29.0","s614","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","35","86163","0.0-5.0-30.0","s614","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","36","86665","0.0-5.0-31.0","s614","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","37","87567","0.0-5.0-32.0","s614","","900","0","cue","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","900","practice","Orange-Blue","orange","8","color","stay","switch","6","","","",""
"766","71","poldrack-categorize","38","90073","0.0-5.0-33.0","s614","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = ""stim-text"" style=color:orange;>8</div>","89,71","1000","practice","Orange-Blue","orange","8","color","stay","switch","6","true","71","500",""
"-1","-1","poldrack-single-stim","39","90576","0.0-5.0-34.0","s614","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","40","90577","0.0-5.0-35.0","s614","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","41","91080","0.0-5.0-36.0","s614","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","42","91183","0.0-5.0-37.0","s614","","100","0","cue","","<div class = upperbox><div class = ""center-text"" >Magnitude</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","100","practice","Magnitude","#1F45FC","8","magnitude","switch","stay","7","","","",""
"905","71","poldrack-categorize","43","93689","0.0-5.0-38.0","s614","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Magnitude</div></div><div class = lowerbox><div class = ""stim-text"" style=color:#1F45FC;>8</div>","89,71","1000","practice","Magnitude","#1F45FC","8","magnitude","switch","stay","7","true","71","500",""
"-1","-1","poldrack-single-stim","44","94191","0.0-5.0-39.0","s614","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","45","94192","0.0-5.0-40.0","s614","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","46","94696","0.0-5.0-41.0","s614","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","47","94799","0.0-5.0-42.0","s614","","100","0","cue","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","100","practice","Orange-Blue","orange","4","color","switch","switch","8","","","",""
"827","71","poldrack-categorize","48","97305","0.0-5.0-43.0","s614","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = ""stim-text"" style=color:orange;>4</div>","89,71","1000","practice","Orange-Blue","orange","4","color","switch","switch","8","true","71","500",""
"-1","-1","poldrack-single-stim","49","97808","0.0-5.0-44.0","s614","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","50","97808","0.0-5.0-45.0","s614","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","51","98311","0.0-5.0-46.0","s614","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","52","99214","0.0-5.0-47.0","s614","","900","0","cue","","<div class = upperbox><div class = ""center-text"" >Magnitude</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","900","practice","Magnitude","orange","8","magnitude","switch","switch","9","","","",""
"644","71","poldrack-categorize","53","101722","0.0-5.0-48.0","s614","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Magnitude</div></div><div class = lowerbox><div class = ""stim-text"" style=color:orange;>8</div>","89,71","1000","practice","Magnitude","orange","8","magnitude","switch","switch","9","true","71","500",""
"-1","-1","poldrack-single-stim","54","102225","0.0-5.0-49.0","s614","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","55","102225","0.0-5.0-50.0","s614","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","56","102729","0.0-5.0-51.0","s614","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","57","103631","0.0-5.0-52.0","s614","","900","0","cue","","<div class = upperbox><div class = ""center-text"" >Magnitude</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","900","practice","Magnitude","#1F45FC","8","magnitude","stay","stay","10","","","",""
