rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,responses,stimulus,possible_responses,stim_duration,correct,correct_response,feedback_duration,exp_stage,trial_num,SS_stimulus,SS_delay,SS_trial_type,SS_duration,condition,stop_response,exp_id
1823,13,text,0,1825,0.0-0.0,s549,,,,,,,,,,,,,,,,,,,,
1671,71,poldrack-text,1,4499,0.0-1.0,s549,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>,1671,500,fmri_response_test,,,,,,,,,,,,,,,,
732,89,poldrack-text,2,5732,0.0-2.0,s549,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>,732,500,fmri_response_test,,,,,,,,,,,,,,,,
5714,,survey-text,3,11952,0.0-3.0,s549,,,,task_setup,"{""Q0"":""450""}",,,,,,,,,,,,,,,
51923,32,poldrack-single-stim,4,64903,0.0-4.0,s549,,51923,0,instructions,,<div class = instructbox><p class = instruct-text>Only one key is correct for each shape. The correct keys are as follows:<ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img>middle finger</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img>middle finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img>index finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img>index finger</div></li></ul></p><p class = instruct-text><strong>Do not respond if you see the red star if your response was going to be your middle finger!</strong></p><p class = instruct-text>We will start with practice</p></div>,32,51923,,,,,,,,,,,,
1126,71,poldrack-categorize,5,67257,0.0-5.0-0.0-0.0,s549,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img></div>,"71,89",850,true,71,500,practice,0,,,,,,,
791,71,poldrack-categorize,6,69863,0.0-5.0-0.0-1.0,s549,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img></div>,"71,89",850,false,89,500,practice,1,,,,,,,
464,71,poldrack-categorize,7,72469,0.0-5.0-0.0-2.0,s549,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img></div>,"71,89",850,true,71,500,practice,2,,,,,,,
387,89,poldrack-categorize,8,75072,0.0-5.0-0.0-3.0,s549,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img></div>,"71,89",850,true,89,500,practice,3,,,,,,,
810,89,poldrack-categorize,9,77678,0.0-5.0-0.0-4.0,s549,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img></div>,"71,89",850,true,89,500,practice,4,,,,,,,
534,89,poldrack-categorize,10,80283,0.0-5.0-0.0-5.0,s549,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img></div>,"71,89",850,true,89,500,practice,5,,,,,,,
555,89,poldrack-categorize,11,82888,0.0-5.0-0.0-6.0,s549,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img></div>,"71,89",850,true,89,500,practice,6,,,,,,,
512,71,poldrack-categorize,12,85493,0.0-5.0-0.0-7.0,s549,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img></div>,"71,89",850,true,71,500,practice,7,,,,,,,
938,71,poldrack-categorize,13,88098,0.0-5.0-0.0-8.0,s549,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img></div>,"71,89",850,true,71,500,practice,8,,,,,,,
624,89,poldrack-categorize,14,90703,0.0-5.0-0.0-9.0,s549,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img></div>,"71,89",850,true,89,500,practice,9,,,,,,,
994,71,poldrack-categorize,15,93307,0.0-5.0-0.0-10.0,s549,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img></div>,"71,89",850,true,71,500,practice,10,,,,,,,
550,71,poldrack-categorize,16,95913,0.0-5.0-0.0-11.0,s549,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img></div>,"71,89",850,true,71,500,practice,11,,,,,,,
33845,32,poldrack-text,17,130011,0.0-6.0,s549,<div class = centerbox><div  class = center-text>Scanner Setup</div></div>,33845,0,fmri_scanner_wait,,,,,,,,,,,,,,,,
1325,84,poldrack-text,18,131337,0.0-7.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,1325,0,fmri_trigger_wait,,,,,,,,,,,,,,,,
680,84,poldrack-text,19,132017,0.0-8.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,0,fmri_trigger_wait,,,,,,,,,,,,,,,,
679,84,poldrack-text,20,132697,0.0-9.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,0,fmri_trigger_wait,,,,,,,,,,,,,,,,
678,84,poldrack-text,21,133376,0.0-10.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,678,0,fmri_trigger_wait,,,,,,,,,,,,,,,,
680,84,poldrack-text,22,134057,0.0-11.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,0,fmri_trigger_wait,,,,,,,,,,,,,,,,
679,84,poldrack-text,23,134736,0.0-12.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,0,fmri_trigger_wait,,,,,,,,,,,,,,,,
679,84,poldrack-text,24,135417,0.0-13.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,0,fmri_trigger_wait,,,,,,,,,,,,,,,,
679,84,poldrack-text,25,136096,0.0-14.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,0,fmri_trigger_wait,,,,,,,,,,,,,,,,
679,84,poldrack-text,26,136777,0.0-15.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,0,fmri_trigger_wait,,,,,,,,,,,,,,,,
679,84,poldrack-text,27,137456,0.0-16.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,0,fmri_trigger_wait,,,,,,,,,,,,,,,,
680,84,poldrack-text,28,138137,0.0-17.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,0,fmri_trigger_wait,,,,,,,,,,,,,,,,
679,84,poldrack-text,29,138816,0.0-18.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,0,fmri_trigger_wait,,,,,,,,,,,,,,,,
680,84,poldrack-text,30,139497,0.0-19.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,0,fmri_trigger_wait,,,,,,,,,,,,,,,,
678,84,poldrack-text,31,140177,0.0-20.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,678,0,fmri_trigger_wait,,,,,,,,,,,,,,,,
680,84,poldrack-text,32,140857,0.0-21.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,0,fmri_trigger_wait,,,,,,,,,,,,,,,,
