"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","condition","exp_stage","trial_num","correct_response","correct","exp_id"
"2155","13","text","0","2158","0.0-0.0","s633","","","","","","","","","","","","","",""
"10882","89","poldrack-text","1","14042","0.0-1.0","s633","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","10882","500","fmri_response_test","","","","","","","","","",""
"922","71","poldrack-text","2","15465","0.0-2.0","s633","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","922","500","fmri_response_test","","","","","","","","","",""
"14034","","survey-text","3","30004","0.0-3.0","s633","","","","task_setup","{""Q0"":""1"",""Q1"":""4""}","","","","","","","","",""
"19798","32","poldrack-single-stim","4","50804","0.0-4.0","s633","","19798","500","instructions","","<div class = centerbox><p style = ""font-size:40px"" class = center-block-text>Target Pair (press index finger):</p><p class = center-block-text><img src = ""/static/experiments/dot_pattern_expectancy/images/cue1.png"" ></img>&nbsp&nbsp&nbsp...followed by...&nbsp&nbsp&nbsp<img src = ""/static/experiments/dot_pattern_expectancy/images/probe4.png"" ></img><br></br></p><p style = ""font-size:40px"" class = center-block-text>Otherwise press middle finger</div>","32","19798","","","","","",""
"-1","-1","poldrack-single-stim","5","51807","0.0-5.0-0.0","s633","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue1.png""</img></div></div>","none","500","AY","practice","0","","",""
"-1","-1","poldrack-single-stim","6","53808","0.0-5.0-1.0","s633","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"585","71","poldrack-single-stim","7","55309","0.0-5.0-2.0","s633","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe3.png""</img></div></div>","89,71","500","AY","practice","0","71","true",""
"-1","-1","poldrack-single-stim","8","55811","0.0-5.0-3.0","s633","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","1","","",""
"-1","-1","poldrack-single-stim","9","56313","0.0-5.0-4.0","s633","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue5.png""</img></div></div>","none","500","BY","practice","1","","",""
"-1","-1","poldrack-single-stim","10","58314","0.0-5.0-5.0","s633","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"322","71","poldrack-single-stim","11","60615","0.0-5.0-6.0","s633","","2300","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71","500","BY","practice","1","71","true",""
"-1","-1","poldrack-single-stim","12","61117","0.0-5.0-7.0","s633","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","2","","",""
"-1","-1","poldrack-single-stim","13","61618","0.0-5.0-8.0","s633","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue1.png""</img></div></div>","none","500","AY","practice","2","","",""
"-1","-1","poldrack-single-stim","14","63619","0.0-5.0-9.0","s633","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"534","71","poldrack-single-stim","15","65521","0.0-5.0-10.0","s633","","1900","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71","500","AY","practice","2","71","true",""
"-1","-1","poldrack-single-stim","16","66022","0.0-5.0-11.0","s633","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","3","","",""
"-1","-1","poldrack-single-stim","17","66524","0.0-5.0-12.0","s633","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue1.png""</img></div></div>","none","500","AX","practice","3","","",""
