"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","exp_stage","cue","stim_color","stim_number","task","task_switch","cue_switch","trial_num","correct","correct_response","feedback_duration","exp_id"
"2239","13","text","0","2241","0.0-0.0","s624","","","","","","","","","","","","","","","","","","","",""
"1267","89","poldrack-text","1","4510","0.0-1.0","s624","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1267","500","fmri_response_test","","","","","","","","","","","","","","","",""
"592","71","poldrack-text","2","5603","0.0-2.0","s624","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","592","500","fmri_response_test","","","","","","","","","","","","","","","",""
"15524","","survey-text","3","21632","0.0-3.0","s624","","","","task_setup","{""Q0"":""1"",""Q1"":""2""}","","","","","","","","","","","","","","",""
"47093","32","poldrack-single-stim","4","69727","0.0-4.0","s624","","47093","0","instructions","","<div class = centerbox><div class = center-text style=""font-size:40px""><strong>Color</strong> or <strong>Orange-Blue</strong>: Index Finger if orange and Middle Finger if blue.<br><br><strong>Magnitude</strong> or <strong>High-Low</strong>: Middle Finger if >5 and Index Finger if <5.</div></div>","32","47093","","","","","","","","","","","",""
"","","call-function","5","69727","0.0-5.0-0.0","s624","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","6","70229","0.0-5.0-1.0","s624","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","7","70331","0.0-5.0-2.0","s624","","100","0","cue","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","100","practice","Orange-Blue","orange","7","color","switch","switch","0","","","",""
"1595","89","poldrack-categorize","8","72834","0.0-5.0-3.0","s624","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = ""stim-text"" style=color:orange;>7</div>","89,71","1000","practice","Orange-Blue","orange","7","color","switch","switch","0","true","89","500",""
"-1","-1","poldrack-single-stim","9","73336","0.0-5.0-4.0","s624","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","10","73336","0.0-5.0-5.0","s624","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","11","73837","0.0-5.0-6.0","s624","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
