"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","exp_stage","condition","trial_num","correct_response","correct","exp_id"
"8607","13","text","0","8610","0.0-0.0","s592","","","","","","","","","","","","","",""
"1419","89","poldrack-text","1","11035","0.0-1.0","s592","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1419","500","fmri_response_test","","","","","","","","","",""
"529","71","poldrack-text","2","12066","0.0-2.0","s592","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","529","500","fmri_response_test","","","","","","","","","",""
"14582","","survey-text","3","27156","0.0-3.0","s592","","","","task_setup","{""Q0"":""3"",""Q1"":""1""}","","","","","","","","",""
"27824","32","poldrack-single-stim","4","55985","0.0-4.0","s592","","27824","500","instructions","","<div class = centerbox><p style = ""font-size:40px"" class = center-block-text>Target Pair (press index finger):</p><p class = center-block-text><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png"" ></img>&nbsp&nbsp&nbsp...followed by...&nbsp&nbsp&nbsp<img src = ""/static/experiments/dot_pattern_expectancy/images/probe1.png"" ></img><br></br></p><p style = ""font-size:40px"" class = center-block-text>Otherwise press middle finger</div>","32","27824","","","","","",""
"-1","-1","poldrack-single-stim","5","56991","0.0-5.0-0.0","s592","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue6.png""</img></div></div>","none","500","practice","BY","0","","",""
"-1","-1","poldrack-single-stim","6","58993","0.0-5.0-1.0","s592","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
"367","71","poldrack-single-stim","7","60694","0.0-5.0-2.0","s592","","1700","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71","500","practice","BY","0","71","true",""
"-1","-1","poldrack-single-stim","8","61200","0.0-5.0-3.0","s592","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","practice","","1","","",""
"-1","-1","poldrack-single-stim","9","61702","0.0-5.0-4.0","s592","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>","none","500","practice","AX","1","","",""
"-1","-1","poldrack-single-stim","10","63707","0.0-5.0-5.0","s592","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
"407","89","poldrack-single-stim","11","65809","0.0-5.0-6.0","s592","","2100","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe1.png""</img></div></div>","89,71","500","practice","AX","1","89","true",""
"-1","-1","poldrack-single-stim","12","66315","0.0-5.0-7.0","s592","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","practice","","2","","",""
"-1","-1","poldrack-single-stim","13","66817","0.0-5.0-8.0","s592","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>","none","500","practice","AX","2","","",""
"-1","-1","poldrack-single-stim","14","68822","0.0-5.0-9.0","s592","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
"678","89","poldrack-single-stim","15","70328","0.0-5.0-10.0","s592","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe1.png""</img></div></div>","89,71","500","practice","AX","2","89","true",""
"-1","-1","poldrack-single-stim","16","70833","0.0-5.0-11.0","s592","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","practice","","3","","",""
"-1","-1","poldrack-single-stim","17","71334","0.0-5.0-12.0","s592","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue1.png""</img></div></div>","none","500","practice","BX","3","","",""
"-1","-1","poldrack-single-stim","18","73340","0.0-5.0-13.0","s592","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
"-1","-1","poldrack-single-stim","19","74844","0.0-5.0-14.0","s592","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe1.png""</img></div></div>","89,71","500","practice","BX","3","71","false",""
"-1","-1","poldrack-single-stim","20","75350","0.0-5.0-15.0","s592","","500","0","feedback","","<div class = centerbox><div class = center-text>Respond Faster!</p></div>","none","500","practice","","4","","",""
"-1","-1","poldrack-single-stim","21","75852","0.0-5.0-16.0","s592","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>","none","500","practice","AX","4","","",""
"-1","-1","poldrack-single-stim","22","77857","0.0-5.0-17.0","s592","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
"340","89","poldrack-single-stim","23","79761","0.0-5.0-18.0","s592","","1900","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe1.png""</img></div></div>","89,71","500","practice","AX","4","89","true",""
"-1","-1","poldrack-single-stim","24","80263","0.0-5.0-19.0","s592","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","practice","","5","","",""
"-1","-1","poldrack-single-stim","25","80768","0.0-5.0-20.0","s592","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>","none","500","practice","BX","5","","",""
"-1","-1","poldrack-single-stim","26","82769","0.0-5.0-21.0","s592","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
"514","71","poldrack-single-stim","27","84272","0.0-5.0-22.0","s592","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe1.png""</img></div></div>","89,71","500","practice","BX","5","71","true",""
