"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","exp_stage","cue","stim_color","stim_number","task","task_switch","cue_switch","trial_num","correct","correct_response","feedback_duration","exp_id"
"2117","13","text","0","2119","0.0-0.0","s577","","","","","","","","","","","","","","","","","","","",""
"2029","89","poldrack-text","1","5155","0.0-1.0","s577","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","2029","500","fmri_response_test","","","","","","","","","","","","","","","",""
"670","71","poldrack-text","2","6329","0.0-2.0","s577","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","670","500","fmri_response_test","","","","","","","","","","","","","","","",""
"11721","","survey-text","3","18558","0.0-3.0","s577","","","","task_setup","{""Q0"":""2"",""Q1"":""2""}","","","","","","","","","","","","","","",""
"37631","32","poldrack-single-stim","4","57194","0.0-4.0","s577","","37631","0","instructions","","<div class = centerbox><div class = center-text style=""font-size:40px""><strong>Color</strong> or <strong>Orange-Blue</strong>: Middle Finger if orange and Index Finger if blue.<br><br><strong>Magnitude</strong> or <strong>High-Low</strong>: Middle Finger if >5 and Index Finger if <5.</div></div>","32","37631","","","","","","","","","","","",""
"","","call-function","5","57195","0.0-5.0-0.0","s577","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","6","57698","0.0-5.0-1.0","s577","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","7","57804","0.0-5.0-2.0","s577","","100","0","cue","","<div class = upperbox><div class = ""center-text"" >High-Low</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","100","practice","High-Low","#1F45FC","6","magnitude","switch","stay","0","","","",""
"1049","71","poldrack-categorize","8","60311","0.0-5.0-3.0","s577","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >High-Low</div></div><div class = lowerbox><div class = ""stim-text"" style=color:#1F45FC;>6</div>","89,71","1000","practice","High-Low","#1F45FC","6","magnitude","switch","stay","0","true","71","500",""
"-1","-1","poldrack-single-stim","9","60816","0.0-5.0-4.0","s577","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","10","60816","0.0-5.0-5.0","s577","","","","set_stims","","","","","","","","","","","","","","","",""
